date,forward_pe
1990-01-02,15.728
1990-01-05,15.4
1990-01-09,15.287
1990-01-10,15.186
1990-01-12,14.864
1990-01-15,14.735
1990-01-17,14.753
1990-01-19,14.829
1990-01-29,14.22
1990-01-31,14.632
1990-02-01,14.619
1990-02-02,14.714
1990-02-05,14.755
1990-02-08,14.805
1990-02-09,14.834
1990-02-12,14.677
1990-02-13,14.719
1990-02-14,14.763
1990-02-15,14.891
1990-02-20,14.584
1990-02-22,14.482
1990-02-27,14.685
1990-02-28,15.031
1990-03-01,15.07
1990-03-02,15.197
1990-03-08,15.411
1990-03-12,15.338
1990-03-16,15.485
1990-03-22,15.203
1990-03-23,15.273
1990-03-27,15.466
1990-03-29,15.434
1990-04-02,15.63
1990-04-03,15.858
1990-04-04,15.74
1990-04-06,15.694
1990-04-09,15.753
1990-04-11,15.778
1990-04-20,15.465
1990-04-23,15.277
1990-04-26,15.365
1990-05-02,15.536
1990-05-04,15.717
1990-05-10,15.969
1990-05-24,16.647
1990-06-04,17.168
1990-06-06,17.054
1990-06-08,16.762
1990-06-25,16.463
1990-06-26,16.451
1990-06-28,16.712
1990-07-06,16.859
1990-07-13,17.277
1990-07-23,16.713
1990-08-03,16.1
1990-08-16,15.518
1990-08-20,15.337
1990-08-22,14.778
1990-08-24,14.543
1990-08-30,14.879
1990-09-04,14.972
1990-09-05,15.032
1990-09-07,14.986
1990-09-10,14.904
1990-09-12,14.946
1990-09-14,14.682
1990-09-17,14.725
1990-09-18,14.764
1990-09-24,14.114
1990-09-26,14.136
1990-10-01,14.487
1990-10-02,14.499
1990-10-04,14.383
1990-10-09,14.034
1990-10-10,13.817
1990-10-11,13.591
1990-10-12,13.801
1990-10-15,13.948
1990-10-16,13.75
1990-10-17,13.742
1990-10-18,14.063
1990-10-19,14.374
1990-10-22,14.478
1990-10-23,14.368
1990-10-24,14.379
1990-10-25,14.267
1990-10-26,14.016
1990-10-29,13.886
1990-10-30,13.986
1990-10-31,14.068
1990-11-01,14.207
1990-11-05,14.558
1990-11-07,14.161
1990-11-09,14.518
1990-11-12,14.784
1990-11-19,14.777
1990-11-20,14.591
1990-11-21,14.624
1990-11-23,14.581
1990-11-27,14.72
1990-11-28,14.713
1990-11-29,14.642
1990-12-04,15.2
1990-12-07,15.265
1990-12-10,15.319
1990-12-11,15.204
1990-12-12,15.379
1990-12-13,15.34
1990-12-19,15.38
1990-12-20,15.376
1991-01-02,15.298
1991-01-07,14.782
1991-01-09,14.597
1991-01-10,14.739
1991-01-11,14.772
1991-01-14,14.643
1991-01-15,14.701
1991-01-16,14.816
1991-01-30,15.975
1991-02-06,16.906
1991-02-07,16.833
1991-02-12,17.257
1991-02-13,17.423
1991-02-20,17.24
1991-02-21,17.232
1991-03-01,17.616
1991-03-06,17.887
1991-03-18,17.694
1991-03-20,17.495
1991-03-27,17.848
1991-04-02,18.123
1991-04-03,18.096
1991-04-04,18.136
1991-04-22,18.192
1991-05-15,18.103
1991-05-17,18.29
1991-05-20,18.285
1991-05-28,18.759
1991-06-03,19.54
1991-06-04,19.524
1991-06-06,19.317
1991-06-21,19.021
1991-06-26,18.71
1991-07-02,19.447
1991-07-03,19.234
1991-07-08,19.471
1991-07-10,19.358
1991-07-11,19.421
1991-07-12,19.59
1991-07-16,19.657
1991-07-22,19.726
1991-07-23,19.548
1991-07-24,19.507
1991-07-26,19.625
1991-07-30,19.922
1991-07-31,20.584
1991-08-06,20.734
1991-08-07,20.73
1991-08-12,20.596
1991-08-16,20.466
1991-08-19,19.982
1991-08-21,20.732
1991-08-22,20.771
1991-08-23,20.922
1991-08-26,20.905
1991-08-27,20.863
1991-08-29,21.044
1991-08-30,20.989
1991-09-09,21.199
1991-09-10,20.98
1991-09-11,21.009
1991-09-17,21.031
1991-09-19,21.143
1991-09-24,21.152
1991-09-25,21.106
1991-09-26,21.085
1991-10-03,21.575
1991-10-07,21.296
1991-10-10,21.355
1991-10-15,21.942
1991-10-16,22.043
1991-10-22,21.764
1991-10-23,21.77
1991-10-24,21.609
1991-10-29,21.969
1991-10-30,22.052
1991-11-04,22.691
1991-11-06,22.673
1991-11-11,22.856
1991-11-12,23.066
1991-11-20,22.008
1991-11-22,21.869
1991-11-25,21.822
1991-11-29,21.815
1991-12-03,22.963
1991-12-09,22.8
1991-12-11,22.767
1991-12-13,23.175
1991-12-20,23.33
1991-12-26,24.403
1991-12-30,25.024
1992-01-02,26.128
1992-01-03,26.258
1992-01-06,26.172
1992-01-07,26.137
1992-01-09,26.15
1992-01-14,26.327
1992-01-15,26.348
1992-01-20,26.071
1992-01-22,26.182
1992-01-24,26.182
1992-01-31,25.47
1992-02-03,25.516
1992-02-04,25.785
1992-02-06,25.783
1992-02-10,25.78
1992-02-11,25.779
1992-02-12,25.989
1992-02-14,25.7
1992-02-19,25.437
1992-02-21,25.636
1992-02-24,25.687
1992-02-26,25.879
1992-02-27,25.786
1992-03-02,25.586
1992-03-03,25.611
1992-03-06,25.089
1992-03-09,25.137
1992-03-10,25.241
1992-03-12,25.055
1992-03-13,25.176
1992-03-17,25.408
1992-03-19,25.422
1992-03-23,25.429
1992-03-24,25.365
1992-03-26,25.301
1992-03-27,25.031
1992-03-31,24.935
1992-04-01,24.968
1992-04-02,24.737
1992-04-03,24.802
