symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
TPR,Unknown,2016-08-22,539,30.528,119,28.2,28.2,30.32,30.0,28.2,1,,545.0,False,2016-08-19,142703798.17,30.2314,2016-08-30,29.5024,model_decay,-3.36
CAT,Unknown,2016-07-27,521,66.492,54,61.1727,61.1727,62.59,30.0,58.34,1,,549.0,False,2016-07-26,311358287.56,67.5338,2016-09-06,65.7896,model_decay,-1.06
CAT,Unknown,2016-09-07,550,66.3151,54,61.0099,61.0099,62.59,30.0,58.34,2,,556.0,False,2016-09-06,215176062.47,67.2286,2016-09-15,64.843,model_decay,-2.22
LRCX,Unknown,2016-07-11,509,7.472,486,7.09,7.09,7.34,30.0,7.09,1,,,False,2016-07-08,170453077.28,7.5396,2016-10-04,8.2773,timeout,10.78
SWKS,Unknown,2016-10-21,582,62.6835,58,58.04,58.04,62.73,30.0,58.04,1,,587.0,False,2016-10-20,155440738.25,62.3954,2016-10-28,62.687,model_decay,0.01
VRSN,Unknown,2016-10-31,588,83.4289,43,76.7546,76.7546,81.64,30.0,73.49,1,,592.0,False,2016-10-28,76021716.06,82.7644,2016-11-04,79.1292,model_decay,-5.15
DOV,Unknown,2016-11-25,606,49.9669,65,48.0,48.0,49.88,30.0,48.0,1,,609.0,False,2016-11-23,113452383.32,49.917,2016-11-29,47.952,stop,-4.03
SWKS,Unknown,2016-11-18,602,62.9781,58,58.04,58.04,62.73,30.0,58.04,2,,,False,2016-11-17,153183175.78,63.2305,2016-12-01,57.982,stop,-7.93
CAT,Unknown,2016-09-16,557,65.6078,55,60.3592,60.3592,62.59,30.0,58.34,3,,,False,2016-09-15,243147823.22,65.8876,2016-12-12,77.7005,timeout,18.43
EMN,Unknown,2016-12-16,621,56.0603,1,51.5755,51.5755,49.68,30.0,45.47,1,,623.0,False,2016-12-15,83361156.03,55.1555,2016-12-20,55.4482,model_decay,-1.09
APA,Unknown,2016-12-06,613,51.1338,67,47.0431,47.0431,50.13,85.0,45.19,1,,629.0,False,2016-12-05,172014902.47,51.6509,2016-12-29,50.0439,model_decay,-2.13
EMN,Unknown,2016-12-21,624,55.4866,2,51.0477,51.0477,49.68,30.0,45.47,2,,630.0,False,2016-12-20,84982515.65,55.4167,2016-12-30,54.9047,model_decay,-1.05
VLO,Unknown,2016-10-19,580,37.8046,96,35.89,35.89,37.76,30.0,35.89,1,,,False,2016-10-18,212675778.52,37.1805,2017-01-17,46.0081,timeout,21.7
EMN,Unknown,2017-01-05,633,56.1112,61,51.6223,51.6223,49.68,30.0,45.47,3,,644.0,False,2017-01-04,66582687.64,56.2074,2017-01-23,55.7309,model_decay,-0.68
HAS,Unknown,2017-01-25,646,62.3459,60,58.81,58.81,60.89,30.0,58.81,1,,649.0,False,2017-01-24,83320466.16,62.7538,2017-01-26,58.6157,stop,-5.98
MAR,Unknown,2016-11-15,599,70.6625,57,65.0095,65.0095,64.84,33.3,60.42,1,,,False,2016-11-14,225526655.39,71.2429,2017-02-13,79.844,timeout,12.99
RF,Unknown,2016-11-18,602,9.2346,928,8.4959,8.4959,7.06,70.0,6.56,1,,,False,2016-11-17,219748433.26,9.2885,2017-02-16,10.9808,timeout,18.91
KEY,Unknown,2016-11-18,602,11.3403,324,10.4331,10.4331,8.4,30.0,7.9,1,,,False,2016-11-17,212926341.64,11.3024,2017-02-16,12.7402,timeout,12.34
DOV,Unknown,2016-12-01,610,51.0242,72,48.0,48.0,49.88,30.0,48.0,2,,,False,2016-11-30,108965201.64,52.481,2017-03-01,56.7097,timeout,11.14
QRVO,Unknown,2017-02-28,542,67.6776,56,62.2634,62.2634,56.97,30.0,52.82,1,,546.0,False,2017-02-27,121318613.1,66.1,2017-03-06,65.8141,model_decay,-2.75
TXT,Unknown,2017-03-02,671,48.8819,181,45.99,45.99,48.77,70.0,45.99,1,,674.0,False,2017-03-01,82287318.67,48.2208,2017-03-07,47.1466,model_decay,-3.55
TDC,Unknown,2017-03-02,671,31.3013,121,28.9,28.9,31.13,30.0,28.9,1,,675.0,False,2017-03-01,59749830.05,31.09,2017-03-08,31.0989,model_decay,-0.65
AVGO,Unknown,2016-12-12,617,13.7038,272,12.6075,12.6075,13.35,30.0,12.51,1,,,False,2016-12-09,375770739.57,13.6986,2017-03-10,17.2063,timeout,25.56
QRVO,Unknown,2017-03-08,548,66.6666,56,61.3333,61.3333,56.97,30.0,52.82,2,,550.0,False,2017-03-07,90030420.35,66.4,2017-03-10,66.7831,model_decay,0.17
