date,equity,cash,positions,gross_exposure_pct,portfolio_return,spy_return,excess_return,exposure_matched_spy_return,exposure_matched_excess_return
2016-07-11,100032.87,96368.63,1,3.663,0.00032871,0.0,0.00032871,0.0,0.00032871
2016-07-12,100113.94,96368.63,1,3.741,0.00081038,0.00726385,-0.00645347,0.00026608,0.0005443
2016-07-13,100130.07,96368.63,1,3.7566,0.00016117,-0.00013982,0.00030098,-5.23e-06,0.0001664
2016-07-14,100098.68,96368.63,1,3.7264,-0.00031355,0.00558306,-0.00589661,0.00020973,-0.00052328
2016-07-15,100127.11,96368.63,1,3.7537,0.00028403,-0.00134116,0.00162519,-4.998e-05,0.00033401
2016-07-18,100160.2,96368.63,1,3.7855,0.00033055,0.00268647,-0.00235593,0.00010084,0.0002297
2016-07-19,100167.4,96368.63,1,3.7924,7.181e-05,-0.00101605,0.00108787,-3.846e-05,0.00011028
2016-07-20,100240.0,96368.63,1,3.8621,0.00072487,0.00416337,-0.0034385,0.00015789,0.00056698
2016-07-21,100159.77,96368.63,1,3.7851,-0.00080046,-0.00377731,0.00297684,-0.00014588,-0.00065458
2016-07-22,100190.77,96368.63,1,3.8149,0.00030957,0.00448481,-0.00417524,0.00016975,0.00013982
2016-07-25,100215.8,96368.63,1,3.8389,0.00024981,-0.00271605,0.00296587,-0.00010361,0.00035343
2016-07-26,100256.53,96368.63,1,3.878,0.00040639,0.00046168,-5.528e-05,1.772e-05,0.00038867
2016-07-27,100334.34,96687.51,1,3.6347,0.0007761,-0.00106104,0.00183714,-4.115e-05,0.00081724
2016-07-28,100283.17,96687.51,1,3.5855,-0.00051,0.00115488,-0.00166488,4.198e-05,-0.00055198
2016-07-29,100276.23,96687.51,1,3.5788,-6.919e-05,0.00161443,-0.00168362,5.789e-05,-0.00012708
2016-08-01,100241.11,96687.51,1,3.545,-0.00035025,-0.00082889,0.00047864,-2.966e-05,-0.00032058
2016-08-02,100210.32,96687.51,1,3.5154,-0.00030711,-0.00640773,0.00610062,-0.00022716,-7.996e-05
2016-08-03,100244.57,96687.51,1,3.5484,0.0003418,0.00292307,-0.00258127,0.00010276,0.00023905
2016-08-04,100233.3,96687.51,1,3.5375,-0.00011242,0.00106329,-0.00117572,3.773e-05,-0.00015015
2016-08-05,100267.56,96687.51,1,3.5705,0.00034172,0.00817942,-0.00783769,0.00028935,5.237e-05
2016-08-08,100305.72,96687.51,1,3.6072,0.0003806,-0.00059565,0.00097625,-2.127e-05,0.00040187
2016-08-09,100279.27,96687.51,1,3.5818,-0.00026369,0.000596,-0.00085969,2.15e-05,-0.00028518
2016-08-10,100271.46,96687.51,1,3.5742,-7.787e-05,-0.00247459,0.00239673,-8.863e-05,1.077e-05
2016-08-11,100297.04,96687.51,1,3.5988,0.00025516,0.00464052,-0.00438536,0.00016586,8.93e-05
2016-08-12,100286.64,96687.51,1,3.5888,-0.00010375,-0.00086927,0.00076552,-3.128e-05,-7.247e-05
2016-08-15,100397.02,93039.27,2,7.3287,0.00110066,0.0028836,-0.00178293,0.00010349,0.00099718
