date,equity,cash,positions,gross_exposure_pct,portfolio_return,spy_return,excess_return,exposure_matched_spy_return,exposure_matched_excess_return
2016-07-05,99960.43,96370.23,1,3.5916,-0.00039569,0.0,-0.00039569,0.0,-0.00039569
2016-07-06,99925.85,99925.85,0,0.0,-0.00034596,0.00599742,-0.00634338,0.0002154,-0.00056137
2016-07-07,99925.85,99925.85,0,0.0,0.0,-0.00061985,0.00061985,-0.0,0.0
2016-07-08,99925.85,99925.85,0,0.0,0.0,0.01489071,-0.01489071,0.0,0.0
2016-07-11,99892.86,96338.26,1,3.5584,-0.00033008,0.00352659,-0.00385668,0.0,-0.00033008
2016-07-12,99900.56,96338.26,1,3.5658,7.708e-05,0.00726385,-0.00718677,0.00025848,-0.0001814
2016-07-13,99866.99,92708.73,2,7.1678,-0.00033604,-0.00013982,-0.00019622,-4.99e-06,-0.00033105
2016-07-14,99893.57,92708.73,2,7.1925,0.0002661,0.00558306,-0.00531695,0.00040018,-0.00013408
2016-07-15,99924.68,92708.73,2,7.2214,0.00031146,-0.00134116,0.00165263,-9.646e-05,0.00040792
2016-07-18,99962.35,92708.73,2,7.2564,0.00037695,0.00268647,-0.00230952,0.000194,0.00018295
2016-07-19,99906.18,92708.73,2,7.2042,-0.00056186,-0.00101605,0.00045419,-7.373e-05,-0.00048813
2016-07-20,99945.9,92708.73,2,7.2411,0.00039752,0.00416337,-0.00376586,0.00029994,9.758e-05
2016-07-21,99985.04,92708.73,2,7.2774,0.00039164,-0.00377731,0.00416895,-0.00027352,0.00066516
2016-07-22,99987.7,92708.73,2,7.2799,2.664e-05,0.00448481,-0.00445817,0.00032638,-0.00029974
2016-07-25,99949.13,92708.73,2,7.2441,-0.00038583,-0.00271605,0.00233023,-0.00019773,-0.0001881
2016-07-26,100150.36,92708.73,2,7.4305,0.00201334,0.00046168,0.00155166,3.344e-05,0.00197989
2016-07-27,100165.25,92708.73,2,7.4442,0.00014871,-0.00106104,0.00120975,-7.884e-05,0.00022755
2016-07-28,100152.54,92708.73,2,7.4325,-0.00012692,0.00115488,-0.0012818,8.597e-05,-0.00021289
2016-07-29,100231.31,92708.73,2,7.5052,0.00078656,0.00161443,-0.00082787,0.00011999,0.00066656
2016-08-01,100087.14,92708.73,2,7.372,-0.0014384,-0.00082889,-0.00060951,-6.221e-05,-0.00137619
2016-08-02,99839.05,92708.73,2,7.1418,-0.0024788,-0.00640773,0.00392893,-0.00047238,-0.00200642
2016-08-03,99866.19,96111.52,1,3.7597,0.00027193,0.00292307,-0.00265114,0.00020876,6.317e-05
2016-08-04,99854.3,96111.52,1,3.7482,-0.00011912,0.00106329,-0.00118241,3.998e-05,-0.0001591
2016-08-05,99890.45,96111.52,1,3.7831,0.00036208,0.00817942,-0.00781734,0.00030658,5.549e-05
2016-08-08,99930.74,96111.52,1,3.8219,0.00040326,-0.00059565,0.00099891,-2.253e-05,0.00042579
2016-08-09,99902.82,96111.52,1,3.795,-0.00027938,0.000596,-0.00087538,2.278e-05,-0.00030216
2016-08-10,99894.58,96111.52,1,3.787,-8.25e-05,-0.00247459,0.00239209,-9.391e-05,1.141e-05
2016-08-11,99921.58,96111.52,1,3.8131,0.00027035,0.00464052,-0.00437017,0.00017574,9.461e-05
2016-08-12,99873.21,92485.6,2,7.397,-0.00048412,-0.00086927,0.00038514,-3.315e-05,-0.00045098
2016-08-15,99961.43,92485.6,2,7.4787,0.00088338,0.0028836,-0.00200022,0.0002133,0.00067008
2016-08-16,99943.21,92485.6,2,7.4618,-0.00018231,-0.00515744,0.00497513,-0.00038571,0.0002034
