symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
LRCX,Unknown,2016-07-05,505,7.2306,502,7.09,7.09,7.34,30.0,7.09,1,,,False,2016-07-01,162291980.89,7.1518,2016-07-06,7.0829,stop,-2.04
AN,Unknown,2016-07-11,509,51.2512,70,47.1511,47.1511,52.04,30.0,46.09,1,,526.0,False,2016-07-08,63226818.1,50.78,2016-08-03,48.6113,model_decay,-5.15
CAT,Unknown,2016-07-13,511,63.6761,57,58.582,58.582,62.59,30.0,58.34,1,,544.0,False,2016-07-12,287800904.4,63.3819,2016-08-29,66.1907,model_decay,3.95
TPR,Unknown,2016-08-12,533,30.216,120,28.2,28.2,30.32,30.0,28.2,1,,,False,2016-08-11,134906508.25,29.9044,2016-09-09,28.1718,stop,-6.77
KMI,Unknown,2016-09-07,550,13.621,266,12.86,12.86,13.81,30.0,12.86,1,,,False,2016-09-06,169680896.96,13.7528,2016-09-16,12.8471,stop,-5.68
OKE,Unknown,2016-09-12,553,26.7352,135,25.59,25.59,27.58,30.0,25.59,1,,,False,2016-09-09,48484659.77,27.2727,2016-09-16,25.5543,stop,-4.42
AVGO,Unknown,2016-09-28,565,13.2212,273,12.51,12.51,13.35,30.0,12.51,1,,577.0,False,2016-09-27,465483548.31,13.125,2016-10-14,13.0565,model_decay,-1.25
SWKS,Unknown,2016-10-03,568,61.0791,59,58.04,58.04,62.73,30.0,58.04,1,,587.0,False,2016-09-30,223101448.12,60.6718,2016-10-28,62.687,model_decay,2.63
HRL,Unknown,2016-10-11,574,28.8182,125,28.0,28.0,29.34,30.0,28.0,1,,,False,2016-10-10,68249889.17,28.8275,2016-11-03,27.972,stop,-2.94
VRSN,Unknown,2016-10-24,583,80.4906,44,74.0514,74.0514,81.64,30.0,73.49,1,,599.0,False,2016-10-21,64854370.68,80.154,2016-11-15,78.0664,model_decay,-3.01
HRB,Unknown,2016-11-17,601,15.222,212,14.3,14.3,16.23,30.0,14.3,1,,608.0,False,2016-11-16,40869774.04,15.754,2016-11-29,14.9729,model_decay,-1.64
DOV,Unknown,2016-11-22,604,50.0775,2,48.0,48.0,49.88,30.0,48.0,1,,,False,2016-11-21,113400089.99,49.4405,2016-11-29,47.952,stop,-4.24
VLO,Unknown,2016-10-18,579,37.0881,97,35.89,35.89,37.76,30.0,35.89,1,,610.0,False,2016-10-17,212847018.45,37.8077,2016-12-01,42.2756,model_decay,13.99
HUM,Unknown,2016-11-09,595,165.0135,22,151.88,151.88,163.24,30.0,151.88,1,,617.0,False,2016-11-08,195446146.29,171.1805,2016-12-12,186.4736,model_decay,13.01
APA,Unknown,2016-12-01,610,52.513,135,48.3119,48.3119,50.13,85.0,45.19,1,,629.0,False,2016-11-30,189725810.22,50.709,2016-12-29,50.0439,model_decay,-4.7
AXP,Unknown,2016-11-08,594,58.5562,61,56.96,56.96,59.5,30.0,56.96,1,,630.0,False,2016-11-07,313641841.67,58.7429,2016-12-30,64.7126,model_decay,10.51
RF,Unknown,2016-11-16,600,9.2627,921,8.5216,8.5216,7.06,70.0,6.56,1,,630.0,False,2016-11-15,190192766.67,9.0293,2016-12-30,10.0037,model_decay,8.0
KEY,Unknown,2016-11-16,600,11.0876,329,10.2006,10.2006,8.4,30.0,7.9,1,,630.0,False,2016-11-15,200991979.18,11.1164,2016-12-30,12.12,model_decay,9.31
EMN,Unknown,2016-12-15,620,54.7169,67,50.3395,50.3395,49.68,30.0,45.47,1,,630.0,False,2016-12-14,81058109.92,55.7649,2016-12-30,54.9047,model_decay,0.34
MAR,Unknown,2016-11-11,597,67.1294,60,61.759,61.759,64.84,33.3,60.42,1,,631.0,False,2016-11-10,202799584.77,67.2824,2017-01-03,76.6351,model_decay,14.16
HAS,Unknown,2017-01-20,643,60.8544,60,58.81,58.81,60.89,30.0,58.81,1,,,False,2017-01-19,85285062.25,60.7502,2017-01-26,58.6157,stop,-3.68
IVZ,Unknown,2017-02-06,654,19.8571,186,19.75,19.75,20.63,30.0,19.75,1,,,False,2017-02-03,70101573.33,19.753,2017-02-07,19.7303,stop,-0.64
KR,Unknown,2017-02-01,651,27.7497,133,27.05,27.05,28.69,30.0,27.05,1,,,False,2017-01-31,185558367.99,27.4186,2017-02-08,27.023,stop,-2.62
ORLY,Unknown,2017-02-22,665,17.9579,7,17.63,17.63,18.49,30.0,17.63,1,,,False,2017-02-21,319044608.64,17.8727,2017-02-24,17.6124,stop,-1.92
QRVO,Unknown,2017-02-13,532,66.5365,55,61.2136,61.2136,56.97,30.0,52.82,1,,546.0,False,2017-02-10,138865841.8,66.53,2017-03-06,65.8141,model_decay,-1.09
EOG,Unknown,2017-03-02,671,72.1295,1,69.23,69.23,74.13,30.0,69.23,1,,,False,2017-03-01,250233044.37,71.5416,2017-03-08,69.1608,stop,-4.12
IVZ,Unknown,2017-02-08,656,19.6105,188,19.53,19.53,20.63,30.0,19.53,1,,678.0,False,2017-02-07,67883857.09,19.7919,2017-03-13,20.861,model_decay,6.38
MET,Unknown,2017-03-09,676,35.0192,106,34.08,34.08,35.35,30.0,34.08,1,,683.0,False,2017-03-08,254740332.04,34.9777,2017-03-20,34.6625,model_decay,-1.02
