symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
AN,Unknown,2016-07-25,519,52.2722,69,48.0904,48.0904,52.04,30.0,46.09,1,,534.0,False,2016-07-22,62950451.05,51.98,2016-08-03,48.0423,stop,-8.09
CAT,Unknown,2016-07-13,511,63.6761,57,58.582,58.582,62.59,30.0,58.34,1,,549.0,False,2016-07-12,287800904.4,63.3819,2016-09-06,65.7896,model_decay,3.32
LRCX,Unknown,2016-07-12,510,7.6284,476,7.09,7.09,7.34,30.0,7.09,1,,561.0,False,2016-07-11,171773524.58,7.7064,2016-09-22,8.1915,model_decay,7.38
KMI,Unknown,2016-10-03,568,14.0576,259,12.933,12.933,13.81,30.0,12.86,1,,,False,2016-09-30,231388975.29,13.9406,2016-10-11,12.9201,stop,-8.09
SWKS,Unknown,2016-10-07,572,63.9815,56,58.863,58.863,62.73,30.0,58.04,1,,590.0,False,2016-10-06,218421706.81,63.9256,2016-11-02,60.8686,model_decay,-4.87
HRL,Unknown,2016-11-01,589,29.4725,122,28.0,28.0,29.34,30.0,28.0,1,,,False,2016-10-31,58915576.15,29.1828,2016-11-03,27.972,stop,-5.09
VRSN,Unknown,2016-10-31,588,83.4289,43,76.7546,76.7546,81.64,30.0,73.49,1,,602.0,False,2016-10-28,76021716.06,82.7644,2016-11-18,79.5818,model_decay,-4.61
AVGO,Unknown,2016-10-07,572,13.4598,270,12.51,12.51,13.35,30.0,12.51,1,,605.0,False,2016-10-06,409369974.97,13.3949,2016-11-23,13.5466,model_decay,0.65
DOV,Unknown,2016-11-25,606,49.9669,14,48.0,48.0,49.88,30.0,48.0,1,,658.0,False,2016-11-23,113452383.32,49.917,2016-11-29,47.952,stop,-4.03
SWKS,Unknown,2016-11-18,602,62.9781,56,58.04,58.04,62.73,30.0,58.04,2,,,False,2016-11-17,153183175.78,63.2305,2016-12-01,57.982,stop,-7.93
CAT,Unknown,2016-09-27,564,66.066,55,60.7807,60.7807,62.59,30.0,58.34,2,,,False,2016-09-26,257648166.85,66.5541,2016-12-21,76.2842,timeout,15.47
HUM,Unknown,2016-11-09,595,165.0135,22,151.88,151.88,163.24,30.0,151.88,1,,624.0,False,2016-11-08,195446146.29,171.1805,2016-12-21,184.0373,model_decay,11.53
APA,Unknown,2016-12-01,610,52.513,67,48.3119,48.3119,50.13,85.0,45.19,1,,636.0,False,2016-11-30,189725810.22,50.709,2017-01-10,48.7062,model_decay,-7.25
MAR,Unknown,2016-11-11,597,67.1294,60,61.759,61.759,64.84,33.3,60.42,1,,639.0,False,2016-11-10,202799584.77,67.2824,2017-01-13,75.3295,model_decay,12.22
AZO,Unknown,2016-11-23,605,794.7139,4,731.1368,731.1368,783.33,30.0,720.45,1,,640.0,False,2016-11-22,236710733.3,798.05,2017-01-17,779.4797,model_decay,-1.92
HUM,Unknown,2017-01-19,642,190.3434,19,175.1159,175.1159,163.24,30.0,151.88,2,,646.0,False,2017-01-18,255849966.3,189.8583,2017-01-23,174.9408,stop,-8.09
VLO,Unknown,2016-10-26,585,40.0701,90,36.8645,36.8645,37.76,30.0,35.89,1,,,False,2016-10-25,224666145.73,40.5755,2017-01-24,45.6782,timeout,14.0
HAS,Unknown,2017-01-25,646,62.3459,59,58.81,58.81,60.89,30.0,58.81,1,,697.0,False,2017-01-24,83320466.16,62.7538,2017-01-26,58.6157,stop,-5.98
RF,Unknown,2016-11-16,600,9.2627,480,8.5216,8.5216,7.06,70.0,6.56,1,,650.0,False,2016-11-15,190192766.67,9.0293,2017-01-31,10.1232,model_decay,9.29
KEY,Unknown,2016-11-29,608,11.3823,58,10.4717,10.4717,8.4,70.0,7.9,1,,650.0,False,2016-11-28,205478654.63,11.3575,2017-01-31,12.0532,model_decay,5.89
AXP,Unknown,2016-11-10,596,60.7041,60,56.96,56.96,59.5,30.0,56.96,1,,,False,2016-11-09,334095302.52,61.4054,2017-02-08,68.1344,timeout,12.24
EMN,Unknown,2016-12-15,620,54.7169,5,50.3395,50.3395,49.68,30.0,45.47,1,,,False,2016-12-14,81058109.92,55.7649,2017-03-15,57.0988,timeout,4.35
KEY,Unknown,2017-02-23,666,12.6588,1,11.6461,11.6461,8.4,70.0,7.9,2,,,False,2017-02-22,120111076.94,12.7263,2017-03-21,11.6345,stop,-8.09
IVZ,Unknown,2017-02-14,660,20.798,177,19.53,19.53,20.63,30.0,19.53,1,,685.0,False,2017-02-13,70180543.14,20.9342,2017-03-22,19.6912,model_decay,-5.32
NTAP,Unknown,2017-02-17,663,31.8726,53,29.3228,29.3228,29.32,30.0,27.58,1,,689.0,False,2017-02-16,89452661.26,31.7381,2017-03-28,32.2037,model_decay,1.04
RF,Unknown,2017-02-01,651,10.249,835,9.4291,9.4291,7.06,70.0,6.56,2,,,False,2017-01-31,154980245.97,10.1755,2017-04-18,9.4197,stop,-8.09
MAR,Unknown,2017-01-27,648,79.2022,51,72.866,72.866,64.84,33.3,60.42,2,,,False,2017-01-26,177036537.56,79.2244,2017-04-25,86.7136,timeout,9.48
TDC,Unknown,2017-04-21,706,31.9119,115,29.3589,29.3589,31.13,30.0,28.9,2,,720.0,False,2017-04-20,35560206.0,31.06,2017-04-27,29.3295,stop,-8.09
QRVO,Unknown,2017-02-13,532,66.5365,55,61.2136,61.2136,56.97,30.0,52.82,1,,589.0,False,2017-02-10,138865841.8,66.53,2017-05-05,67.2027,model_decay,1.0
VRSN,Unknown,2017-02-13,659,81.802,105,75.2579,75.2579,81.64,70.0,73.49,1,,,False,2017-02-10,55106620.82,81.6612,2017-05-10,87.6611,timeout,7.16
VRTX,Unknown,2017-04-05,695,112.4623,32,103.4654,103.4654,95.0,30.0,88.9,1,,726.0,False,2017-04-04,227207335.75,114.11,2017-05-19,117.6522,model_decay,4.61
MLM,Unknown,2017-05-03,714,222.9662,16,205.1289,205.1289,209.81,30.0,192.34,1,,733.0,False,2017-05-02,134542283.62,223.2761,2017-05-31,212.0377,model_decay,-4.9
ADI,Unknown,2017-06-01,734,72.8333,50,67.0066,67.0066,67.52,30.0,62.95,1,,744.0,False,2017-05-31,274306455.74,69.3283,2017-06-05,66.9396,stop,-8.09
REGN,Unknown,2017-05-11,720,426.6956,8,392.5599,392.5599,393.43,30.0,358.99,1,,764.0,False,2017-05-10,375540285.93,436.8221,2017-07-14,502.7403,model_decay,17.82
IVZ,Unknown,2017-04-25,708,21.1516,174,19.53,19.53,20.63,30.0,19.53,2,,,False,2017-04-24,56234546.2,21.0454,2017-07-20,23.9432,timeout,13.2
EW,Unknown,2017-04-27,710,36.323,101,33.4171,33.4171,32.16,30.0,30.81,1,,,False,2017-04-26,177359292.86,36.5567,2017-07-24,39.2507,timeout,8.06
GT,Unknown,2017-07-17,765,33.5588,111,30.8741,30.8741,33.4,30.0,30.58,1,,,False,2017-07-14,75211717.35,33.5438,2017-07-28,29.3845,stop,-12.44
REGN,Unknown,2017-07-20,768,506.7947,15,466.2511,466.2511,393.43,70.0,358.99,2,,775.0,False,2017-07-19,499611341.63,516.8611,2017-07-31,485.1731,model_decay,-4.27
WMB,Unknown,2017-07-07,759,18.965,457,17.4478,17.4478,18.47,70.0,17.2,1,,785.0,False,2017-07-06,120260244.09,18.915,2017-08-14,18.7718,model_decay,-1.02
VRTX,Unknown,2017-06-01,734,124.124,29,114.1941,114.1941,95.0,30.0,88.9,2,,,False,2017-05-31,188108361.85,127.16,2017-08-25,156.7231,timeout,26.26
TROW,Unknown,2017-06-12,741,51.7166,71,47.5792,47.5792,51.07,30.0,47.04,1,,,False,2017-06-09,87810521.78,52.1303,2017-09-06,59.1142,timeout,14.3
CHTR,Unknown,2017-08-01,729,393.2328,9,361.7742,361.7742,355.0,30.0,329.04,1,,759.0,False,2017-07-31,553659981.55,387.42,2017-09-13,381.0985,model_decay,-3.09
DLR,Unknown,2017-09-01,799,87.18,42,81.39,81.39,86.96,30.0,81.39,1,,816.0,False,2017-08-31,73244730.75,86.5707,2017-09-27,83.6933,model_decay,-4.0
QRVO,Unknown,2017-08-31,671,73.2632,50,67.4021,67.4021,70.27,30.0,64.7,1,,693.0,False,2017-08-30,78794120.1,73.22,2017-10-03,71.4485,model_decay,-2.48
SO,Unknown,2017-09-20,811,35.0707,204,33.4,33.4,34.66,70.0,33.4,1,,820.0,False,2017-09-19,161984247.73,34.6365,2017-10-03,34.266,model_decay,-2.29
TJX,Unknown,2017-09-07,802,32.5854,114,30.14,30.14,32.28,30.0,30.14,1,,829.0,False,2017-09-06,301289718.5,32.2959,2017-10-16,31.7547,model_decay,-2.55
QRVO,Unknown,2017-10-18,704,72.3423,31,66.5549,66.5549,70.27,30.0,64.7,2,,706.0,False,2017-10-17,71064575.65,72.02,2017-10-20,70.0599,model_decay,-3.16
WMB,Unknown,2017-09-14,807,19.1245,455,17.5945,17.5945,18.47,70.0,17.2,2,,,False,2017-09-13,69430025.13,19.1054,2017-10-25,17.5769,stop,-8.09
PRGO,Unknown,2017-09-13,806,68.8243,54,63.3183,63.3183,62.07,30.0,59.17,1,,842.0,False,2017-09-12,96921496.43,69.2064,2017-10-31,63.255,stop,-8.09
DLR,Unknown,2017-10-18,831,90.8864,40,83.6155,83.6155,86.96,30.0,81.39,2,,844.0,False,2017-10-17,122424510.5,91.7887,2017-11-06,88.6021,model_decay,-2.51
CB,Unknown,2017-10-30,839,131.6743,28,121.1404,121.1404,126.06,30.0,120.78,1,,850.0,False,2017-10-27,177235388.54,131.7496,2017-11-14,129.7154,model_decay,-1.49
EQT,Unknown,2017-11-10,848,32.9207,18,30.37,30.37,32.48,56.7,30.37,1,,,False,2017-11-09,239474804.58,32.5681,2017-11-14,30.3396,stop,-7.84
SO,Unknown,2017-10-12,827,35.3933,244,33.4,33.4,34.66,70.0,33.4,2,,854.0,False,2017-10-11,162411212.29,35.5401,2017-11-20,36.1248,model_decay,2.07
SWKS,Unknown,2017-11-09,847,91.2124,111,83.9154,83.9154,88.27,100.0,82.36,1,,858.0,False,2017-11-08,219191289.23,90.6401,2017-11-27,89.2445,model_decay,-2.16
AMAT,Unknown,2017-10-03,820,47.5248,78,43.7228,43.7228,44.13,30.0,41.45,1,,864.0,False,2017-10-02,511980143.67,47.1408,2017-12-05,44.9991,model_decay,-5.31
QRVO,Unknown,2017-10-30,712,74.094,49,68.1665,68.1665,70.27,30.0,64.7,3,,,False,2017-10-27,64436833.2,76.25,2017-12-06,68.0983,stop,-8.09
CB,Unknown,2017-12-07,866,129.9319,28,120.78,120.78,126.06,30.0,120.78,2,,873.0,False,2017-12-06,158970601.51,128.7767,2017-12-18,128.4671,model_decay,-1.13
JEF,Unknown,2017-12-04,863,18.7862,455,17.48,17.48,18.23,70.0,17.48,1,,874.0,False,2017-12-01,29113751.47,18.4459,2017-12-19,18.2882,model_decay,-2.65
ESRX,Unknown,2018-01-19,893,80.3503,2,73.9222,73.9222,62.76,70.0,59.47,1,,910.0,False,2018-01-18,263818009.99,80.22,2018-01-30,73.8483,stop,-8.09
JEF,Unknown,2017-12-21,876,18.6057,458,17.48,17.48,18.23,70.0,17.48,2,,,False,2017-12-20,42451424.18,18.5661,2018-02-05,17.4625,stop,-6.14
AES,Unknown,2018-01-19,894,8.368,7,7.6985,7.6985,7.91,30.0,7.57,1,,908.0,False,2018-01-18,60141525.84,8.475,2018-02-05,7.6908,stop,-8.09
PRU,Unknown,2017-12-18,873,77.6272,121,71.4171,71.4171,75.1,100.0,71.19,1,,,False,2017-12-15,131652854.18,77.0389,2018-02-06,71.3457,stop,-8.09
IDXX,Unknown,2018-01-18,764,178.8787,2,164.5684,164.5684,165.77,30.0,154.88,1,,786.0,False,2018-01-17,70360034.8,179.0,2018-02-20,182.2476,model_decay,1.88
PRGO,Unknown,2017-11-24,857,67.8124,54,62.3874,62.3874,62.07,30.0,59.17,2,,,False,2017-11-22,103109969.2,67.3093,2018-02-22,67.7774,timeout,-0.05
SYY,Unknown,2017-11-29,860,44.9093,190,41.3165,41.3165,42.03,70.0,39.67,1,,,False,2017-11-28,109156408.58,46.0127,2018-02-27,48.3089,timeout,7.57
ESRX,Unknown,2018-02-28,920,80.08,104,73.6736,73.6736,62.76,70.0,59.47,2,,937.0,False,2018-02-27,359223587.25,75.45,2018-03-01,73.5999,stop,-8.09
TRIP,Unknown,2018-02-16,914,37.7874,111,34.7645,34.7645,33.94,35.0,30.31,1,,944.0,False,2018-02-15,156921869.53,38.5234,2018-03-02,34.7297,stop,-8.09
ESRX,Unknown,2018-03-12,928,80.6906,41,74.2354,74.2354,80.5,70.0,72.51,1,,,False,2018-03-09,491407226.32,78.25,2018-03-19,74.1612,stop,-8.09
STT,Unknown,2018-03-06,925,82.2063,43,75.6298,75.6298,77.64,30.0,74.37,2,,940.0,False,2018-03-05,154454565.72,81.4982,2018-03-23,75.5542,stop,-8.09
ADM,Unknown,2018-02-16,914,33.5579,296,30.8733,30.8733,32.87,85.0,30.57,1,,942.0,False,2018-02-15,141419201.05,33.8303,2018-03-29,33.7651,model_decay,0.62
