date,equity,cash,positions,gross_exposure_pct,portfolio_return,spy_return,excess_return,exposure_matched_spy_return,exposure_matched_excess_return
2016-07-13,99983.23,96370.46,1,3.6134,-0.0001677,0.0,-0.0001677,0.0,-0.0001677
2016-07-14,100000.0,96370.46,1,3.6295,0.00016778,0.00558306,-0.00541528,0.00020174,-3.396e-05
2016-07-15,100029.02,96370.46,1,3.6575,0.00029013,-0.00134116,0.00163129,-4.868e-05,0.00033881
2016-07-18,100023.98,96370.46,1,3.6526,-5.032e-05,0.00268647,-0.00273679,9.826e-05,-0.00014857
2016-07-19,100020.32,96370.46,1,3.6491,-3.664e-05,-0.00101605,0.00097941,-3.711e-05,4.7e-07
2016-07-20,100018.03,96370.46,1,3.6469,-2.285e-05,0.00416337,-0.00418623,0.00015193,-0.00017478
2016-07-21,100032.68,96370.46,1,3.661,0.00014641,-0.00377731,0.00392371,-0.00013776,0.00028416
2016-07-22,100003.84,96370.46,1,3.6332,-0.00028827,0.00448481,-0.00477308,0.00016419,-0.00045246
2016-07-25,99972.26,96370.46,1,3.6028,-0.00031577,-0.00271605,0.00240029,-9.868e-05,-0.00021709
2016-07-26,100158.09,96370.46,1,3.7817,0.00185883,0.00046168,0.00139715,1.663e-05,0.0018422
2016-07-27,100219.89,96370.46,1,3.841,0.00061696,-0.00106104,0.001678,-4.012e-05,0.00065709
2016-07-28,100165.87,96370.46,1,3.7891,-0.00053895,0.00115488,-0.00169383,4.436e-05,-0.00058331
2016-07-29,100228.77,92759.53,2,7.4522,0.00062794,0.00161443,-0.00098649,6.117e-05,0.00056677
2016-08-01,100086.13,92759.53,2,7.3203,-0.00142317,-0.00082889,-0.00059428,-6.177e-05,-0.0013614
2016-08-02,99841.11,92759.53,2,7.0928,-0.00244805,-0.00640773,0.00395968,-0.00046906,-0.00197898
2016-08-03,99832.94,96078.27,1,3.761,-8.187e-05,0.00292307,-0.00300494,0.00020733,-0.0002892
2016-08-04,99821.05,96078.27,1,3.7495,-0.00011916,0.00106329,-0.00118245,3.999e-05,-0.00015915
2016-08-05,99857.2,96078.27,1,3.7843,0.0003622,0.00817942,-0.00781722,0.00030669,5.551e-05
2016-08-08,99897.48,96078.27,1,3.8231,0.0004034,-0.00059565,0.00099904,-2.254e-05,0.00042594
2016-08-09,99869.56,96078.27,1,3.7962,-0.00027947,0.000596,-0.00087547,2.279e-05,-0.00030226
2016-08-10,99861.32,96078.27,1,3.7883,-8.253e-05,-0.00247459,0.00239207,-9.394e-05,1.141e-05
2016-08-11,99873.54,99873.54,0,0.0,0.00012241,0.00464052,-0.00451811,0.0001758,-5.339e-05
2016-08-12,99873.54,99873.54,0,0.0,0.0,-0.00086927,0.00086927,-0.0,0.0
2016-08-15,99873.54,99873.54,0,0.0,0.0,0.0028836,-0.0028836,0.0,0.0
2016-08-16,99847.06,96244.88,1,3.6077,-0.00026517,-0.00515744,0.00489227,-0.0,-0.00026517
2016-08-17,99861.06,96244.88,1,3.6212,0.00014021,0.00188085,-0.00174064,6.786e-05,7.235e-05
2016-08-18,99889.93,96244.88,1,3.6491,0.00028911,0.0022445,-0.00195539,8.128e-05,0.00020783
2016-08-19,99939.16,99939.16,0,0.0,0.00049279,-0.00146223,0.00195502,-5.336e-05,0.00054615
2016-08-22,99934.23,96309.52,1,3.6271,-4.93e-05,-4.566e-05,-3.64e-06,-0.0,-4.93e-05
2016-08-23,99952.44,96309.52,1,3.6447,0.00018226,0.00201293,-0.00183067,7.301e-05,0.00010925
2016-08-24,99915.15,96309.52,1,3.6087,-0.0003731,-0.00511469,0.00474159,-0.00018641,-0.00018669
2016-08-25,99901.71,96309.52,1,3.5957,-0.00013452,-0.0006887,0.00055418,-2.485e-05,-0.00010967
2016-08-26,99905.78,92683.79,2,7.2288,4.074e-05,-0.00188309,0.00192384,-6.771e-05,0.00010846
2016-08-29,99945.42,92683.79,2,7.2656,0.00039673,0.00492408,-0.00452735,0.00035595,4.078e-05
2016-08-30,99865.83,92683.79,2,7.1917,-0.00079633,-0.00164837,0.00085204,-0.00011976,-0.00067656
2016-08-31,99856.03,92683.79,2,7.1826,-9.809e-05,-0.00284391,0.00274582,-0.00020452,0.00010644
2016-09-01,99887.68,96218.24,1,3.6736,0.0003169,4.59e-05,0.00027099,3.3e-06,0.0003136
2016-09-02,99877.2,96218.24,1,3.6635,-0.0001049,0.00450761,-0.00461251,0.00016559,-0.00027049
2016-09-06,99851.58,96218.24,1,3.6387,-0.0002565,0.00302241,-0.00327891,0.00011072,-0.00036723
2016-09-07,99838.28,99838.28,0,0.0,-0.00013323,-9.112e-05,-4.211e-05,-3.32e-06,-0.00012991
2016-09-08,99838.28,99838.28,0,0.0,0.0,-0.00228297,0.00228297,-0.0,0.0
2016-09-09,99777.53,96210.02,1,3.5755,-0.00060843,-0.02393492,0.02332649,-0.0,-0.00060843
