cash,date,equity,excess_return,exposure_matched_excess_return,exposure_matched_spy_return,gross_exposure_pct,portfolio_return,positions,spy_return
1235.55,2016-07-05,98558.58,-0.01441423,-0.01441423,0.0,98.7464,-0.01441423,10,0.0
510.33,2016-07-06,98679.56,-0.00476987,-0.00469469,0.00592223,99.4828,0.00122755,10,0.00599742
510.33,2016-07-07,98715.16,0.00098064,0.00097744,-0.00061665,99.483,0.00036079,10,-0.00061985
510.33,2016-07-08,100788.89,0.00611641,0.00619339,0.01481373,99.4937,0.02100712,10,0.01489071
510.33,2016-07-11,100874.25,-0.00267961,-0.00266176,0.00350873,99.4941,0.00084698,10,0.00352659
510.33,2016-07-12,102349.46,0.00736042,0.00739717,0.0072271,99.5014,0.01462427,10,0.00726385
510.33,2016-07-13,101751.54,-0.00570218,-0.00570287,-0.00013912,99.4985,-0.00584199,10,-0.00013982
510.33,2016-07-14,101875.26,-0.00436716,-0.00433916,0.00555506,99.4991,0.0012159,10,0.00558306
510.33,2016-07-15,102087.04,0.00341996,0.00341324,-0.00133445,99.5001,0.0020788,10,-0.00134116
510.33,2016-07-18,102108.99,-0.00247147,-0.00245804,0.00267304,99.5002,0.000215,10,0.00268647
77.46,2016-07-19,100484.12,-0.01489697,-0.01490205,-0.00101097,99.9229,-0.01591302,10,-0.00101605
77.46,2016-07-20,100469.7,-0.00430695,-0.00430374,0.00416017,99.9229,-0.00014357,10,0.00416337
77.46,2016-07-21,99981.88,-0.00107807,-0.00108098,-0.00377439,99.9225,-0.00485537,10,-0.00377731
77.46,2016-07-22,100996.88,0.00566706,0.00567054,0.00448134,99.9233,0.01015188,10,0.00448481
77.46,2016-07-25,100769.99,0.00046955,0.00046747,-0.00271397,99.9231,-0.0022465,10,-0.00271605
77.46,2016-07-26,101201.17,0.0038171,0.00381746,0.00046132,99.9235,0.00427878,10,0.00046168
12.87,2016-07-27,99027.81,-0.02041454,-0.02041535,-0.00106023,99.987,-0.02147558,10,-0.00106104
12.87,2016-07-28,98700.99,-0.00445522,-0.00445507,0.00115473,99.987,-0.00330034,10,0.00115488
12.87,2016-07-29,99578.7,0.00727826,0.00727847,0.00161422,99.9871,0.00889268,10,0.00161443
22.81,2016-08-01,98369.82,-0.0113111,-0.0113112,-0.00082878,99.9768,-0.01213999,10,-0.00082889
22.81,2016-08-02,97159.35,-0.00589758,-0.00589906,-0.00640625,99.9765,-0.01230531,10,-0.00640773
22.81,2016-08-03,97767.73,0.00333864,0.00333932,0.00292238,99.9767,0.00626171,10,0.00292307
22.81,2016-08-04,97542.54,-0.00336665,-0.0033664,0.00106304,99.9766,-0.00230335,10,0.00106329
22.81,2016-08-05,98946.97,0.00621874,0.00622066,0.0081775,99.977,0.01439816,10,0.00817942
22.81,2016-08-08,99303.48,0.00419863,0.0041985,-0.00059551,99.977,0.00360299,10,-0.00059565
22.81,2016-08-09,98917.63,-0.00448151,-0.00448137,0.00059586,99.9769,-0.00388551,10,0.000596
22.81,2016-08-10,99076.08,0.00407644,0.00407587,-0.00247402,99.977,0.00160185,10,-0.00247459
22.81,2016-08-11,99829.82,0.00296713,0.0029682,0.00463945,99.9772,0.00760765,10,0.00464052
22.81,2016-08-12,99803.68,0.00060744,0.00060724,-0.00086907,99.9771,-0.00026183,10,-0.00086927
22.81,2016-08-15,100443.11,0.00352331,0.00352396,0.00288294,99.9773,0.0064069,10,0.0028836
22.81,2016-08-16,99545.47,-0.00377936,-0.00378053,-0.00515627,99.9771,-0.0089368,10,-0.00515744
22.81,2016-08-17,99679.83,-0.00053113,-0.0005307,0.00188041,99.9771,0.00134971,10,0.00188085
22.81,2016-08-18,100653.34,0.00752191,0.00752243,0.00224398,99.9773,0.00976641,10,0.0022445
22.81,2016-08-19,100630.14,0.00123167,0.00123134,-0.0014619,99.9773,-0.00023056,10,-0.00146223
22.81,2016-08-22,100654.79,0.00029067,0.00029066,-4.565e-05,99.9773,0.00024501,10,-4.566e-05
22.81,2016-08-23,101547.43,0.00685536,0.00685582,0.00201247,99.9775,0.00886829,10,0.00201293
22.81,2016-08-24,100644.47,-0.00377733,-0.00377848,-0.00511354,99.9773,-0.00889202,10,-0.00511469
17.58,2016-08-25,99639.47,-0.0092969,-0.00929706,-0.00068854,99.9824,-0.0099856,10,-0.0006887
17.58,2016-08-26,99168.71,-0.00284159,-0.00284192,-0.00188276,99.9823,-0.00472468,10,-0.00188309
17.58,2016-08-29,100053.32,0.00399621,0.00399709,0.0049232,99.9824,0.00892029,10,0.00492408
17.58,2016-08-30,99548.53,-0.00339689,-0.00339718,-0.00164808,99.9823,-0.00504526,10,-0.00164837
17.58,2016-08-31,98773.43,-0.0049422,-0.0049427,-0.0028434,99.9822,-0.00778611,10,-0.00284391
17.58,2016-09-01,99448.02,0.00678377,0.00678378,4.59e-05,99.9823,0.00682967,10,4.59e-05
17.58,2016-09-02,99959.46,0.00063512,0.00063591,0.00450681,99.9824,0.00514273,10,0.00450761
17.58,2016-09-06,100329.49,0.00067941,0.00067994,0.00302188,99.9825,0.00370182,10,0.00302241
17.58,2016-09-07,100261.79,-0.00058367,-0.00058369,-9.11e-05,99.9825,-0.00067479,10,-9.112e-05
17.58,2016-09-08,99743.81,-0.00288333,-0.00288373,-0.00228257,99.9824,-0.00516629,10,-0.00228297
17.58,2016-09-09,96259.4,-0.01099863,-0.01100285,-0.0239307,99.9817,-0.03493355,10,-0.02393492
17.58,2016-09-12,97284.57,-0.00369751,-0.00369489,0.014345,99.9819,0.01065011,10,0.01434762
17.58,2016-09-13,95362.45,-0.00538192,-0.00538452,-0.01437325,99.9816,-0.01975777,10,-0.01437585
17.58,2016-09-14,95273.45,-0.0005583,-0.00055837,-0.00037486,99.9815,-0.00093324,10,-0.00037493
10.84,2016-09-15,96303.24,0.00081619,0.00081803,0.00999078,99.9887,0.01080881,10,0.00999262
10.84,2016-09-16,95919.17,-0.00012292,-0.00012336,-0.0038648,99.9887,-0.00398816,10,-0.00386523
10.84,2016-09-19,96287.34,0.00365109,0.00365111,0.0001872,99.9887,0.00383831,10,0.00018722
10.84,2016-09-20,96313.23,0.00022179,0.00022179,4.707e-05,99.9887,0.00026886,10,4.707e-05
10.84,2016-09-21,98023.98,0.00651681,0.00651808,0.01124428,99.9889,0.01776236,10,0.01124555
10.84,2016-09-22,98903.43,0.00267033,0.00267102,0.00630075,99.989,0.00897178,10,0.00630145
10.84,2016-09-23,97419.65,-0.00952287,-0.00952347,-0.00547884,99.9889,-0.01500232,10,-0.00547944
10.84,2016-09-26,96842.29,0.00217571,0.00217481,-0.00810131,99.9888,-0.0059265,10,-0.00810221
10.84,2016-09-27,96979.71,-0.00478878,-0.00478808,0.00620711,99.9888,0.00141903,10,0.0062078
10.84,2016-09-28,98552.52,0.01125404,0.01125459,0.00496333,99.989,0.01621793,10,0.00496389
10.84,2016-09-29,98236.17,0.00583735,0.00583636,-0.00904634,99.989,-0.00320998,10,-0.00904733
10.84,2016-09-30,100035.94,0.01077484,0.01077567,0.00754524,99.9892,0.01832091,10,0.00754607
10.84,2016-10-03,99410.89,-0.00384415,-0.00384441,-0.00240391,99.9891,-0.00624832,10,-0.00240417
10.84,2016-10-04,98495.18,-0.00411375,-0.0041143,-0.00509708,99.989,-0.00921138,10,-0.00509764
10.84,2016-10-05,98848.0,-0.00084354,-0.00084305,0.00442519,99.989,0.00358214,10,0.00442568
10.84,2016-10-06,98961.49,0.00045318,0.00045326,0.00069492,99.989,0.00114818,10,0.000695
10.84,2016-10-07,98608.22,-0.0001405,-0.00014088,-0.0034289,99.989,-0.00356978,10,-0.00342928
10.84,2016-10-10,99047.45,-0.00075438,-0.00075381,0.00520803,99.9891,0.00445422,10,0.0052086
10.84,2016-10-11,97820.55,0.00024318,0.00024179,-0.01262871,99.9889,-0.01238691,10,-0.01263009
10.84,2016-10-12,97954.69,5.887e-05,5.902e-05,0.00131224,99.9889,0.00137125,10,0.00131238
10.84,2016-10-13,97373.05,-0.00266233,-0.00266269,-0.00327521,99.9889,-0.0059379,10,-0.00327557
10.84,2016-10-14,97273.7,-0.00153629,-0.00153623,0.00051595,99.9889,-0.00102028,10,0.00051601
10.84,2016-10-17,96764.87,-0.00175881,-0.0017592,-0.00347169,99.9888,-0.00523089,10,-0.00347208
10.84,2016-10-18,97151.43,-0.00226784,-0.00226714,0.00626202,99.9888,0.00399488,10,0.00626272
10.84,2016-10-19,98192.6,0.00805025,0.00805054,0.0026664,99.989,0.01071694,10,0.00266669
10.84,2016-10-20,98221.7,0.0021628,0.00216259,-0.00186626,99.989,0.00029633,10,-0.00186646
10.84,2016-10-21,98177.71,-0.0009153,-0.00091525,0.00046744,99.989,-0.00044781,10,0.00046749
10.84,2016-10-24,97994.81,-0.00611588,-0.00611541,0.00425245,99.9889,-0.00186296,10,0.00425292
10.84,2016-10-25,96775.56,-0.00909144,-0.00909181,-0.00335016,99.9888,-0.01244197,10,-0.00335053
10.84,2016-10-26,96510.65,-0.00072977,-0.00073,-0.00200736,99.9888,-0.00273736,10,-0.00200759
11.44,2016-10-27,96107.11,-0.00151453,-0.00151482,-0.00266657,99.9881,-0.00418139,10,-0.00266687
11.44,2016-10-28,95979.7,0.00162998,0.00162962,-0.00295529,99.9881,-0.00132567,10,-0.00295564
11.44,2016-10-31,96592.42,0.00633658,0.00633659,4.726e-05,99.9882,0.00638384,10,4.726e-05
11.44,2016-11-01,96174.62,0.0029204,0.00291954,-0.00724494,99.9881,-0.0043254,10,-0.0072458
11.44,2016-11-02,96396.87,0.00832921,0.0083285,-0.00601758,99.9881,0.00231091,10,-0.0060183
11.44,2016-11-03,96027.19,0.0007423,0.00074175,-0.00457671,99.9881,-0.00383496,10,-0.00457725
11.44,2016-11-04,96216.33,0.00307123,0.0030711,-0.00110147,99.9881,0.00196963,10,-0.0011016
11.44,2016-11-07,99063.83,0.00753793,0.00754056,0.02205425,99.9885,0.0295948,10,0.02205687
11.44,2016-11-08,99452.54,-0.00058077,-0.00058025,0.00450406,99.9885,0.0039238,10,0.00450458
11.44,2016-11-09,99575.16,-0.00936863,-0.00936741,0.01060035,99.9885,0.00123294,10,0.01060157
11.44,2016-11-10,100194.83,0.00372811,0.00372839,0.00249477,99.9886,0.00622316,10,0.00249506
11.44,2016-11-11,99610.14,-0.00353088,-0.00353114,-0.00230442,99.9885,-0.00583557,10,-0.00230469
4928.12,2016-11-14,98512.63,-0.01180382,-0.01180373,0.00078574,94.9975,-0.01101798,10,0.00078584
4928.12,2016-11-15,100459.02,0.01195512,0.01234545,0.00741224,95.0944,0.01975769,10,0.00780257
4928.12,2016-11-16,100768.9,0.00496299,0.00487085,-0.00178614,95.1095,0.00308471,10,-0.00187828
4928.12,2016-11-17,101098.17,-0.00187345,-0.00162203,0.00488953,95.1254,0.0032675,10,0.00514095
4928.12,2016-11-18,101212.61,0.00337008,0.00326098,-0.002129,95.1309,0.00113199,10,-0.00223809
