cash,date,equity,excess_return,exposure_matched_excess_return,exposure_matched_spy_return,gross_exposure_pct,portfolio_return,positions,spy_return
90101.92,2022-02-08,100138.44,0.00138443,0.00138443,0.0,10.0227,0.00138443,1,0.0
90101.92,2022-02-09,100208.2,-0.01393936,-0.00077033,0.00146691,10.0853,0.00069658,1,0.01463594
90101.92,2022-02-10,100140.04,0.0172854,0.00113175,-0.00181187,10.0241,-0.00068012,1,-0.01796552
90101.92,2022-02-11,99972.48,0.01804547,0.00030329,-0.00197663,9.8733,-0.00167334,1,-0.01971882
90101.92,2022-02-14,99844.19,0.00198605,-0.00096042,-0.00032278,9.7575,-0.0012832,1,-0.00326925
90101.92,2022-02-15,100146.46,-0.01309943,0.00145381,0.00157357,10.0299,0.00302738,1,0.01612681
90101.92,2022-02-16,100226.63,-0.00032008,0.0006882,0.0001124,10.1018,0.00080061,1,0.00112068
90101.92,2022-02-17,99598.85,0.01509763,-0.00410573,-0.00215788,9.5352,-0.00626361,1,-0.02136124
90101.92,2022-02-18,99604.47,0.00653143,0.00067376,-0.00061741,9.5403,5.635e-05,1,-0.00647508
90101.92,2022-02-22,99515.47,0.00983814,0.00013029,-0.00102383,9.4594,-0.00089354,1,-0.01073168
95604.12,2022-02-23,99182.69,0.01439471,-0.00166598,-0.00167797,3.6081,-0.00334395,1,-0.01773866
95604.12,2022-02-24,99132.43,-0.01555614,-0.00104979,0.00054299,3.5592,-0.0005068,1,0.01504934
95604.12,2022-02-25,99239.72,-0.02098147,0.000297,0.00078529,3.6634,0.00108229,1,0.02206376
95604.12,2022-02-28,99178.19,0.00193855,-0.00052619,-9.373e-05,3.6037,-0.00061992,1,-0.00255847
95604.12,2022-03-01,99320.74,0.01666749,0.00198609,-0.00054885,3.742,0.00143724,1,-0.01523026
95604.12,2022-03-02,99391.26,-0.01768598,2.167e-05,0.00068839,3.8103,0.00071006,1,0.01839603
95604.12,2022-03-03,99466.28,0.00573321,0.00094449,-0.00018969,3.8829,0.00075479,1,-0.00497841
95604.12,2022-03-04,99485.03,0.00831307,0.000504,-0.00031547,3.901,0.00018853,1,-0.00812454
95604.12,2022-03-07,99520.29,0.02983356,0.00150442,-0.00114998,3.9351,0.00035444,1,-0.02947912
95604.12,2022-03-08,99376.25,0.00613425,-0.00114907,-0.00029834,3.7958,-0.00144742,1,-0.00758166
95604.12,2022-03-09,99348.49,-0.02708996,-0.00129697,0.00101768,3.7689,-0.00027929,1,0.02681066
95604.12,2022-03-10,99391.26,0.00494612,0.00060068,-0.00017019,3.8103,0.00043048,1,-0.00451564
95604.12,2022-03-11,99391.26,0.01271487,0.00048448,-0.00048448,3.8103,0.0,1,-0.01271487
95604.12,2022-03-14,99358.24,0.00697631,-5.372e-05,-0.00027848,3.7784,-0.0003322,1,-0.0073085
95604.12,2022-03-15,99294.48,-0.02263236,-0.00147265,0.00083089,3.7166,-0.00064177,1,0.02199059
95604.12,2022-03-16,99307.99,-0.022038,-0.00068808,0.00082412,3.7297,0.00013604,1,0.02217404
95604.12,2022-03-17,99332.74,-0.01226186,-0.00021736,0.00046662,3.7537,0.00024927,1,0.01251113
95604.12,2022-03-18,99299.73,-0.01128502,-0.00074343,0.00041113,3.7217,-0.00033231,1,0.01095272
95604.12,2022-03-21,99336.49,0.00066238,0.00038104,-1.088e-05,3.7573,0.00037017,1,-0.00029221
95604.12,2022-03-22,99334.99,-0.01171606,-0.0004547,0.00043964,3.7559,-1.506e-05,1,0.011701
95604.12,2022-03-23,99350.0,0.01302934,0.00063473,-0.00048369,3.7704,0.00015104,1,-0.01287829
95604.12,2022-03-24,99374.75,-0.01482543,-0.00031921,0.00056837,3.7944,0.00024916,1,0.01507459
95604.12,2022-03-25,99407.76,-0.00455128,0.00014687,0.0001853,3.8263,0.00033216,1,0.00488345
95604.12,2022-03-28,99385.26,-0.00733946,-0.00049853,0.00027217,3.8045,-0.00022636,1,0.0071131
95604.12,2022-03-29,99409.26,-0.01212915,-0.0002291,0.00047065,3.8278,0.00024155,1,0.0123707
95604.12,2022-03-30,99467.78,0.00676332,0.00082494,-0.00023635,3.8843,0.00058859,1,-0.00617473
95604.12,2022-03-31,99470.78,0.01542143,0.00062802,-0.00059785,3.8872,3.017e-05,1,-0.01539126
95604.12,2022-04-01,99536.8,-0.0021703,0.00055361,0.00011017,3.951,0.00066378,1,0.00283407
95604.12,2022-04-04,99482.78,-0.00910936,-0.00088121,0.00033847,3.8988,-0.00054275,1,0.00856662
95604.12,2022-04-05,99525.55,0.01306109,0.00092237,-0.00049247,3.9401,0.0004299,1,-0.01263119
95604.12,2022-04-06,99561.56,0.01036131,0.00075581,-0.00039399,3.9749,0.00036181,1,-0.0099995
95604.12,2022-04-07,99572.81,-0.00492581,-8.724e-05,0.00020029,3.9857,0.00011305,1,0.00503886
95604.12,2022-04-08,99578.09,0.00272674,0.00015959,-0.00010657,3.9908,5.303e-05,1,-0.00267371
95604.12,2022-04-11,99608.24,0.01739532,0.0009849,-0.00068213,4.0199,0.00030277,1,-0.01709255
95604.12,2022-04-12,99624.83,0.00387184,0.00031548,-0.00014895,4.0359,0.00016653,1,-0.00370531
95604.12,2022-04-13,99636.14,-0.01134037,-0.00034876,0.00046226,4.0467,0.00011351,1,0.01145388
95604.12,2022-04-14,99632.37,0.01241396,0.00046609,-0.00050389,4.0431,-3.78e-05,1,-0.01245176
95604.12,2022-04-18,99601.46,-0.00072146,-0.00032691,1.662e-05,4.0133,-0.00031028,1,0.00041118
95604.12,2022-04-19,99654.99,-0.01560506,-0.00011041,0.00064785,4.0649,0.00053745,1,0.0161425
95604.12,2022-04-20,99726.61,0.00146006,0.00074885,-3.013e-05,4.1338,0.00071871,1,-0.00074134
95604.12,2022-04-21,99736.41,0.01505198,0.00071646,-0.00061815,4.1432,9.83e-05,1,-0.01495368
95604.12,2022-04-22,99643.68,0.02650941,0.00020707,-0.00113687,4.054,-0.00092979,1,-0.02743921
95604.12,2022-04-25,99642.17,-0.00581295,-0.00025015,0.00023505,4.0526,-1.51e-05,1,0.00579785
95604.12,2022-04-26,99551.7,0.02805313,0.00026569,-0.00117367,3.9654,-0.00090798,1,-0.0289611
95604.12,2022-04-27,99588.64,-0.00244075,0.00025959,0.0001115,4.001,0.00037109,1,0.00281184
95604.12,2022-04-28,99639.91,-0.02474488,-0.00049583,0.00101064,4.0504,0.00051481,1,0.02525969
95604.12,2022-04-29,99553.96,0.03609319,0.00063425,-0.00149685,3.9675,-0.0008626,1,-0.03695579
95604.12,2022-05-02,99510.99,-0.00645097,-0.00067045,0.00023882,3.9261,-0.00043163,1,0.00601934
95604.12,2022-05-03,99498.93,-0.0047053,-0.00030121,0.00017997,3.9144,-0.00012124,1,0.00458406
95604.12,2022-05-04,99543.41,-0.03000582,-0.00074498,0.00119206,3.9574,0.00044708,1,0.0304529
95604.12,2022-05-05,99492.14,0.03502804,0.00089153,-0.00140657,3.9079,-0.00051504,1,-0.03554308
95604.12,2022-05-06,99525.31,0.00630206,0.00056661,-0.00023325,3.9399,0.00033337,1,-0.00596869
95604.12,2022-05-09,99566.03,0.03242643,0.00167057,-0.00126145,3.9792,0.00040912,1,-0.03201731
95604.12,2022-05-10,99533.61,-0.00263635,-0.00041755,9.195e-05,3.9479,-0.00032561,1,0.00231074
95604.12,2022-05-11,99539.64,0.01594681,0.00068774,-0.00062717,3.9537,6.056e-05,1,-0.01588625
95604.12,2022-05-12,99548.68,0.0011346,0.00013215,-4.127e-05,3.9624,9.088e-05,1,-0.00104372
95604.12,2022-05-13,99615.78,-0.02323368,-0.00027329,0.00094733,4.0271,0.00067404,1,0.02390772
95604.12,2022-05-16,99627.85,0.0041785,0.00028451,-0.0001634,4.0388,0.00012111,1,-0.00405739
95604.12,2022-05-17,99589.4,-0.02095595,-0.00121668,0.00083077,4.0017,-0.00038591,1,0.02057005
95604.12,2022-05-18,99240.33,0.03680633,-0.00189194,-0.00161315,3.664,-0.00350509,1,-0.04031141
99205.06,2022-05-19,99205.06,0.00576939,-0.00013104,-0.00022442,0.0,-0.00035546,0,-0.00612485
99205.06,2022-05-20,99205.06,-0.00043636,0.0,0.0,0.0,0.0,0,0.00043636
99205.06,2022-05-23,99205.06,-0.01871031,0.0,0.0,0.0,0.0,0,0.01871031
99205.06,2022-05-24,99205.06,0.00763367,0.0,-0.0,0.0,0.0,0,-0.00763367
99205.06,2022-05-25,99205.06,-0.00883476,0.0,0.0,0.0,0.0,0,0.00883476
99205.06,2022-05-26,99205.06,-0.01998163,0.0,0.0,0.0,0.0,0,0.01998163
99205.06,2022-05-27,99205.06,-0.02454903,0.0,0.0,0.0,0.0,0,0.02454903
99205.06,2022-05-31,99205.06,0.00561081,0.0,-0.0,0.0,0.0,0,-0.00561081
99205.06,2022-06-01,99205.06,0.00808871,0.0,-0.0,0.0,0.0,0,-0.00808871
99205.06,2022-06-02,99205.06,-0.01904351,0.0,0.0,0.0,0.0,0,0.01904351
99205.06,2022-06-03,99205.06,0.01641146,0.0,-0.0,0.0,0.0,0,-0.01641146
99205.06,2022-06-06,99205.06,-0.00304476,0.0,0.0,0.0,0.0,0,0.00304476
99205.06,2022-06-07,99205.06,-0.00959233,0.0,0.0,0.0,0.0,0,0.00959233
99205.06,2022-06-08,99205.06,0.01087226,0.0,-0.0,0.0,0.0,0,-0.01087226
99205.06,2022-06-09,99205.06,0.02378295,0.0,-0.0,0.0,0.0,0,-0.02378295
99205.06,2022-06-10,99205.06,0.02899582,0.0,-0.0,0.0,0.0,0,-0.02899582
99205.06,2022-06-13,99205.06,0.03796802,0.0,-0.0,0.0,0.0,0,-0.03796802
99205.06,2022-06-14,99205.06,0.00301322,0.0,-0.0,0.0,0.0,0,-0.00301322
99205.06,2022-06-15,99205.06,-0.01425635,0.0,0.0,0.0,0.0,0,0.01425635
99205.06,2022-06-16,99205.06,0.03309621,0.0,-0.0,0.0,0.0,0,-0.03309621
99205.06,2022-06-17,99205.06,-0.00215599,0.0,0.0,0.0,0.0,0,0.00215599
99205.06,2022-06-21,99205.06,-0.02517345,0.0,0.0,0.0,0.0,0,0.02517345
99205.06,2022-06-22,99205.06,0.00181276,0.0,-0.0,0.0,0.0,0,-0.00181276
99205.06,2022-06-23,99205.06,-0.00980215,0.0,0.0,0.0,0.0,0,0.00980215
99205.06,2022-06-24,99205.06,-0.03179393,0.0,0.0,0.0,0.0,0,0.03179393
99205.06,2022-06-27,99205.06,0.00381973,0.0,-0.0,0.0,0.0,0,-0.00381973
99205.06,2022-06-28,99205.06,0.02043264,0.0,-0.0,0.0,0.0,0,-0.02043264
99205.06,2022-06-29,99205.06,0.00081452,0.0,-0.0,0.0,0.0,0,-0.00081452
99205.06,2022-06-30,99205.06,0.00812411,0.0,-0.0,0.0,0.0,0,-0.00812411
99205.06,2022-07-01,99205.06,-0.01057655,0.0,0.0,0.0,0.0,0,0.01057655
99205.06,2022-07-05,99205.06,-0.00188857,0.0,0.0,0.0,0.0,0,0.00188857
99205.06,2022-07-06,99205.06,-0.003377,0.0,0.0,0.0,0.0,0,0.003377
99205.06,2022-07-07,99205.06,-0.01497729,0.0,0.0,0.0,0.0,0,0.01497729
99205.06,2022-07-08,99205.06,0.00082255,0.0,-0.0,0.0,0.0,0,-0.00082255
99205.06,2022-07-11,99205.06,0.01142368,0.0,-0.0,0.0,0.0,0,-0.01142368
99205.06,2022-07-12,99205.06,0.0088488,0.0,-0.0,0.0,0.0,0,-0.0088488
99205.06,2022-07-13,99205.06,0.00525186,0.0,-0.0,0.0,0.0,0,-0.00525186
99205.06,2022-07-14,99205.06,0.00242829,0.0,-0.0,0.0,0.0,0,-0.00242829
99205.06,2022-07-15,99205.06,-0.01910514,0.0,0.0,0.0,0.0,0,0.01910514
99205.06,2022-07-18,99205.06,0.008257,0.0,-0.0,0.0,0.0,0,-0.008257
99205.06,2022-07-19,99205.06,-0.02701889,0.0,0.0,0.0,0.0,0,0.02701889
99205.06,2022-07-20,99205.06,-0.00637344,0.0,0.0,0.0,0.0,0,0.00637344
99205.06,2022-07-21,99205.06,-0.01018305,0.0,0.0,0.0,0.0,0,0.01018305
99205.06,2022-07-22,99205.06,0.0092778,0.0,-0.0,0.0,0.0,0,-0.0092778
99205.06,2022-07-25,99205.06,-0.00121491,0.0,0.0,0.0,0.0,0,0.00121491
99205.06,2022-07-26,99205.06,0.01183086,0.0,-0.0,0.0,0.0,0,-0.01183086
