attempt,edge_rank,fill_date,fill_idx,ma50_20_sessions_ago,ma50_missing_reason,ma50_period,ma50_signal_date,ma50_slope_pct,ma50_slope_sessions,ma50_value,pattern_stop,pivot,positive_ma50_slope,sector,signal_close,signal_date,symbol
1,85.0,2022-02-08,530,105.10628000000001,,50,2022-02-07,-0.09149405725330517,20,105.01011399999999,98.04,104.92,False,Unknown,106.8791,2022-02-07,NTRS
1,30.0,2022-02-23,540,39.342064,,50,2022-02-22,4.115630537330217,20,40.961238,34.98,37.07,False,Unknown,40.5804,2022-02-22,HRL
1,30.0,2022-10-14,702,34.557838000000004,,50,2022-10-13,-1.0216553477680024,20,34.204776,32.57,35.07,False,Unknown,34.3413,2022-10-13,ROL
1,41.7,2022-11-04,717,41.0214,,50,2022-11-03,-0.5158283237529648,20,40.8098,38.79,41.57,False,Unknown,41.53,2022-11-03,BSX
1,100.0,2022-12-16,746,79.295054,,50,2022-12-15,-0.28696115144835055,20,79.067508,79.52,84.67,False,Unknown,83.9855,2022-12-15,AEP
1,100.0,2023-03-01,795,55.14455,,50,2023-02-28,-0.5414678331766232,20,54.845960000000005,51.76,54.32,False,Unknown,55.34,2023-02-28,ORLY
1,30.0,2023-04-11,823,1507.4066,,50,2023-04-10,-0.6270635938571689,20,1497.954202,1421.95,1526.66,False,Unknown,1521.63,2023-04-10,MTD
1,30.0,2023-05-26,856,38.723096,,50,2023-05-25,-1.9513832261759068,20,37.96746,36.82,38.83,False,Unknown,37.5829,2023-05-25,TPR
1,30.0,2023-07-11,885,36.636342,,50,2023-07-10,-1.0205494860813236,20,36.26245,34.65,36.35,False,Unknown,36.4827,2023-07-10,XRAY
1,70.0,2023-11-09,971,35.877358,,50,2023-11-08,-0.5160803646689915,20,35.692202,34.16,36.66,False,Unknown,35.6792,2023-11-08,EXC
1,65.0,2023-12-29,1005,232.476158,,50,2023-12-28,-0.6174224541339868,20,231.040798,225.76,238.87,False,Unknown,233.3732,2023-12-28,VRSK
1,56.7,2024-04-05,1071,74.00881,,50,2024-04-04,-0.8010938157227421,20,73.41593,72.28,75.92,False,Unknown,74.9352,2024-04-04,WEC
1,100.0,2024-05-24,674,117.655784,,50,2024-05-23,-0.7706191478015212,20,116.749106,108.84,117.26,False,Unknown,115.6935,2024-05-23,BX
1,30.0,2024-07-18,1142,86.073642,,50,2024-07-17,-0.8295268835028735,20,85.35963799999999,81.2,86.01,False,Unknown,85.1459,2024-07-17,OMC
1,30.0,2024-07-24,1146,272.553392,,50,2024-07-23,-0.9332454024274184,20,270.0098,255.71,275.84,False,Unknown,273.2865,2024-07-23,CMI
1,53.3,2024-12-10,1243,476.919358,,50,2024-12-09,-0.3172301510982023,20,475.406426,462.96,481.31,False,Unknown,479.8672,2024-12-09,SPGI
1,30.0,2025-03-06,1300,252.201558,,50,2025-03-05,-1.7236657990828186,20,247.854446,235.77,255.46,False,Unknown,251.535,2025-03-05,ITW
1,30.0,2025-03-14,1306,170.88978200000003,,50,2025-03-13,-0.30708448092000573,20,170.365006,165.67,177.87,False,Unknown,172.1533,2025-03-13,JKHY
1,100.0,2025-05-01,1339,102.08392599999999,,50,2025-04-30,3.35774703649232,20,105.511646,85.12,90.86,False,Unknown,103.103,2025-04-30,GILD
1,35.0,2025-05-01,1339,277.334312,,50,2025-04-30,2.229295738927517,20,283.516914,259.85,277.68,False,Unknown,283.3973,2025-04-30,CB
1,70.0,2025-05-13,1347,101.821,,50,2025-05-12,-2.8978305064770504,20,98.8704,91.24,100.5,False,Unknown,102.04,2025-05-12,FTNT
1,30.0,2025-07-03,1382,113.918626,,50,2025-07-02,-0.5981445036038258,20,113.237228,109.56,113.85,False,Unknown,113.1076,2025-07-02,DUK
1,30.0,2025-08-08,1407,138.183254,,50,2025-08-07,-0.28787714030820144,20,137.78545599999998,133.87,140.94,False,Unknown,140.7147,2025-08-07,AWK
1,30.0,2025-10-01,1248,163.176512,,50,2025-09-30,-0.8187158700879604,20,161.84056,152.97,168.95,False,Unknown,164.0132,2025-09-30,TRGP
