attempt,diagnostic_exit_idx,divergence_missing_reason,divergence_signal_date,edge_rank,entry_adv_dollars,entry_date,entry_day_stop,entry_idx,entry_price,estimated_cost_drag_pct,exit_date,exit_price,exit_reason,gross_excess_vs_spy_pct,gross_return_pct,highest_close,hold_sessions,initial_stop,ma50_20_sessions_ago,ma50_missing_reason,ma50_period,ma50_signal_date,ma50_slope_pct,ma50_slope_sessions,ma50_value,matched_spy_return_pct,model_exit_idx,net_excess_vs_spy_pct,net_return_pct,pattern_stop,pivot,positive_ma50_slope,positive_relative_ma50_slope,positive_relative_ma_slope,positive_rs_divergence,relative_divergence_pct,relative_ma50_missing_reason,relative_ma50_period,relative_ma50_signal_date,relative_ma50_slope_pct,relative_ma50_slope_sessions,relative_ma_missing_reason,relative_ma_period,relative_ma_signal_date,relative_ma_slope_pct,relative_ma_slope_sessions,rs_divergence_lookback,sector,shares,signal_close,signal_date,spy_lookback_return_pct,spy_ma50_20_sessions_ago,spy_ma50_slope_pct,spy_ma50_value,spy_ma_20_sessions_ago,spy_ma_slope_pct,spy_ma_value,stock_lookback_return_pct,stock_ma50_20_sessions_ago,stock_ma50_slope_pct,stock_ma50_value,stock_ma_20_sessions_ago,stock_ma_slope_pct,stock_ma_value,stock_signal_close,stop,symbol
1,,,,84.82276335909434,375417631.14,2016-07-05,False,505,10.0071,0.17962621133589352,2016-08-31,9.1881,stop,-12.30440969543628,-8.000373788664106,9.4567,41,9.1973,,,,,,,,4.3040359067721745,,-12.484035906772174,-8.18,0.0,,,,True,,,,,,,,,60,2016-07-01,2.3227633590943375,20,,Materials,999,,2016-07-01,,,,,174.76070166666662,0.8043503601939728,176.16638999999995,,,,,9.79710666666668,3.1271137192883103,10.103473333333325,10.2222,9.1973,FCX
1,,,,82.75216790679832,48105165.05,2016-07-06,False,506,50.5363,0.17999583248850115,2016-09-14,46.4005,stop,-9.66464479070044,-8.000004167511499,50.4567,49,46.4469,,,,,,,,1.66464062318894,,-9.84464062318894,-8.18,0.0,,,,True,,,,,,,,,60,2016-07-05,0.25216790679831735,20,,Unknown,198,,2016-07-05,,,,,174.94195999999985,0.7402226429841452,176.2369200000001,,,,,45.22950499999994,0.9923905497824625,45.67835833333332,50.6143,46.4469,MAC
1,,,,84.53208535629338,87660169.84,2016-07-05,False,505,85.3813,0.2218896165192561,2016-09-28,93.9805,timeout,5.817850825668991,10.291889616519256,85.0822,60,78.4723,,,,,,,,4.4740387908502655,,5.595961209149735,10.07,0.0,,,,True,,,,,,,,,60,2016-07-01,2.0320853562933783,20,,Industrials,116,,2016-07-01,,,,,174.76070166666662,0.8043503601939728,176.16638999999995,,,,,82.71266833333344,2.836435716487351,85.05875999999984,85.7848,78.4723,SWK
1,,,,84.05198733490269,138855544.65,2016-07-05,False,505,87.1971,0.20313441619043449,2016-09-28,90.4195,timeout,-0.5709043746598308,3.9031344161904347,86.51,60,80.1412,,,,,,,,4.4740387908502655,,-0.7740387908502653,3.7,0.0,,,,True,,,,,,,,,60,2016-07-01,1.5519873349026936,20,,Health Care,114,,2016-07-01,,,,,174.76070166666662,0.8043503601939728,176.16638999999995,,,,,84.57333333333324,2.3563376950966664,86.56616666666632,87.74,80.1412,VRTX
1,,,,83.67454576013556,224391125.4,2016-07-05,False,505,144.1697,0.2183878133444912,2016-09-28,154.6129,timeout,2.984349022494226,7.458387813344491,143.1025,60,132.5036,,,,,,,,4.4740387908502655,,2.7659612091497348,7.24,0.0,,,,True,,,,,,,,,60,2016-07-01,1.1745457601355591,20,,Health Care,68,,2016-07-01,,,,,174.76070166666662,0.8043503601939728,176.16638999999995,,,,,140.93395999999981,1.9788961203295319,143.72289666666657,145.0268,132.5036,TMO
1,,,,83.25142066562532,150346123.9,2016-07-05,False,505,82.4415,0.2241140799344823,2016-09-28,94.2103,timeout,10.030075289084216,14.504114079934482,82.0826,60,75.7704,,,,,,,,4.4740387908502655,,9.805961209149734,14.28,0.0,,,,True,,,,,,,,,60,2016-07-01,0.7514206656253242,20,,Industrials,120,,2016-07-01,,,,,174.76070166666662,0.8043503601939728,176.16638999999995,,,,,81.14551000000004,1.555771025819297,82.40794833333335,82.7936,75.7704,ITW
1,,,,82.5359893232172,157730356.03,2016-07-05,False,505,7.548,0.2304841831762765,2016-09-28,8.6644,timeout,10.54644539232601,15.020484183176276,7.4334,60,6.9373,,,,,,,,4.4740387908502655,,10.315961209149734,14.79,0.0,,,,True,,,,,,,,,60,2016-07-01,0.035989323217200386,20,,Industrials,1314,,2016-07-01,,,,,174.76070166666662,0.8043503601939728,176.16638999999995,,,,,7.498158333333322,0.8403396834111732,7.561168333333323,7.5898,6.9373,CSX
1,,,,82.50895003724837,197172765.42,2016-07-05,False,505,35.6121,0.20343284551705132,2016-09-28,35.3538,timeout,-5.000605945333215,-0.5265671544829487,35.8741,60,32.7304,,,,,,,,4.4740387908502655,,-5.204038790850266,-0.73,0.0,,,,True,,,,,,,,,60,2016-07-01,0.008950037248367515,20,,Utilities,278,,2016-07-01,,,,,174.76070166666662,0.8043503601939728,176.16638999999995,,,,,32.84292833333326,0.8133003974423403,33.11003999999996,35.5963,32.7304,SO
1,,,,84.48607236479793,182333296.64,2016-07-06,False,506,44.6244,0.21797882140973623,2016-09-29,47.6429,timeout,4.066355565827573,6.977978821409736,44.8791,60,41.0134,,,,,,,,2.911623255582163,,3.8483767444178367,6.76,0.0,,,,True,,,,,,,,,60,2016-07-05,1.9860723647979306,20,,Financials,224,,2016-07-05,,,,,174.94195999999985,0.7402226429841452,176.2369200000001,,,,,43.42975833333336,2.726295007782076,44.613781666666846,44.8774,41.0134,ICE
1,,,,82.60059042491002,161418705.03,2016-07-06,False,506,50.9462,0.1943767184436438,2016-09-29,49.6162,timeout,-5.327246537138519,-2.415623281556356,51.2002,60,46.8237,,,,,,,,2.911623255582163,,-5.521623255582163,-2.61,0.0,,,,True,,,,,,,,,60,2016-07-05,0.10059042491001868,20,,Utilities,196,,2016-07-05,,,,,174.94195999999985,0.7402226429841452,176.2369200000001,,,,,46.465738333333256,0.8408130678941639,46.85642833333343,50.8953,46.8237,D
