cash,date,equity,excess_return,exposure_matched_excess_return,exposure_matched_spy_return,gross_exposure_pct,portfolio_return,positions,spy_return
8224.7,2022-01-04,102522.88,0.02522876,0.02522876,0.0,91.9777,0.02522876,10,0.0
8224.7,2022-01-05,101490.65,0.00913388,0.00759342,-0.01766166,91.8961,-0.01006824,10,-0.01920212
8224.7,2022-01-06,103330.06,0.01906337,0.01898724,-0.00086327,92.0404,0.01812397,10,-0.0009394
8224.7,2022-01-07,104418.16,0.01448378,0.0141691,-0.00363881,92.1233,0.01053029,10,-0.0039535
7645.24,2022-01-10,103978.0,-0.00297101,-0.00306902,-0.00114631,92.6473,-0.00421533,10,-0.00124432
7645.24,2022-01-11,105672.93,0.00719274,0.00786243,0.00843837,92.7652,0.0163008,10,0.00910807
7645.24,2022-01-12,106174.65,0.0020445,0.00224008,0.00250783,92.7994,0.00474791,10,0.00270341
7645.24,2022-01-13,106047.64,0.01258197,0.01158985,-0.01278612,92.7908,-0.00119627,10,-0.01377824
7645.24,2022-01-14,107227.87,0.0107204,0.01074988,0.00037937,92.8701,0.01112925,10,0.00040884
7645.24,2022-01-18,106254.85,0.00863513,0.00737247,-0.01644678,92.8048,-0.00907431,10,-0.01770944
7351.27,2022-01-19,104720.33,-0.00405817,-0.0048053,-0.00963655,92.9801,-0.01444185,10,-0.01038368
6654.58,2022-01-20,102758.19,-0.00766894,-0.00844591,-0.01029111,93.524,-0.01873702,10,-0.01106808
8035.53,2022-01-21,100901.09,0.00155804,0.00028678,-0.01835926,92.0362,-0.01807248,10,-0.01963052
140.11,2022-01-24,100914.46,-0.00411401,-0.00377583,0.00390832,99.8612,0.00013249,10,0.0042465
140.11,2022-01-25,101750.17,0.02049026,0.02047331,-0.01219195,99.8623,0.00828136,10,-0.0122089
140.11,2022-01-26,100197.23,-0.01275345,-0.0127569,-0.00250534,99.8602,-0.01526225,10,-0.0025088
140.11,2022-01-27,100759.06,0.01054527,0.01053837,-0.00493111,99.8609,0.00560726,10,-0.00493801
22.29,2022-01-28,101819.69,-0.01430943,-0.01427489,0.02480121,99.9781,0.01052632,10,0.02483575
22.29,2022-01-31,101582.13,-0.0203439,-0.02033996,0.01800686,99.9781,-0.0023331,10,0.0180108
22.29,2022-02-01,103806.21,0.01513743,0.01513891,0.00675544,99.9785,0.02189435,10,0.00675692
22.29,2022-02-02,105119.31,0.00293558,0.00293766,0.00971191,99.9788,0.01264957,10,0.00971399
22.29,2022-02-03,103770.69,0.01067564,0.01067066,-0.02350004,99.9785,-0.01282938,10,-0.02350502
22.29,2022-02-04,104234.4,-0.00023378,-0.00023277,0.00470135,99.9786,0.00446858,10,0.00470236
22.29,2022-02-07,104375.66,0.00456468,0.00456399,-0.00320877,99.9786,0.00135522,10,-0.00320945
12.18,2022-02-08,104855.85,-0.00362759,-0.00362583,0.0082264,99.9884,0.00460057,10,0.00822816
12.18,2022-02-09,105485.72,-0.0086289,-0.0086272,0.01463424,99.9884,0.00600704,10,0.01463594
12.18,2022-02-10,103872.09,0.00266832,0.00266625,-0.01796344,99.9883,-0.01529719,10,-0.01796552
12.18,2022-02-11,104408.1,0.02487916,0.02487685,-0.01971651,99.9883,0.00516034,10,-0.01971882
39.64,2022-02-14,102442.39,-0.01555795,-0.01555833,-0.00326887,99.9613,-0.0188272,10,-0.00326925
39.64,2022-02-15,102943.92,-0.01123112,-0.01122488,0.01612057,99.9615,0.00489569,10,0.01612681
39.64,2022-02-16,103104.6,0.00044017,0.00044061,0.00112025,99.9616,0.00156086,10,0.00112068
75.08,2022-02-17,102505.03,0.01554613,0.01553792,-0.02135303,99.9268,-0.00581511,10,-0.02136124
75.08,2022-02-18,102620.72,0.00760366,0.00759892,-0.00647034,99.9268,0.00112858,10,-0.00647508
28.22,2022-02-22,101556.02,0.0003566,0.00034875,-0.01072383,99.9722,-0.01037508,10,-0.01073168
28.22,2022-02-23,100578.32,0.00811141,0.00810648,-0.01773373,99.9719,-0.00962725,10,-0.01773866
2442.99,2022-02-24,99742.44,-0.02335998,-0.02335576,0.01504511,97.5507,-0.00831064,10,0.01504934
2442.99,2022-02-25,102784.78,0.00843818,0.00897858,0.02152335,97.6232,0.03050193,10,0.02206376
2442.99,2022-02-28,101787.03,-0.00714877,-0.00720958,-0.00249766,97.5999,-0.00970724,10,-0.00255847
2109.79,2022-03-01,98800.38,-0.01411187,-0.01447741,-0.01486472,97.8646,-0.02934213,10,-0.01523026
2109.79,2022-03-02,100898.91,0.00284407,0.0032369,0.0180032,97.909,0.02124011,10,0.01839603
2109.79,2022-03-03,101234.38,0.00830324,0.00819914,-0.00487431,97.9159,0.00332482,10,-0.00497841
1027.25,2022-03-04,101433.5,0.01009145,0.00992213,-0.00795522,98.9873,0.00196691,10,-0.00812454
508.0,2022-03-07,100253.14,0.0178423,0.01754376,-0.02918057,99.4933,-0.01163681,10,-0.02947912
9268.17,2022-03-08,98161.86,-0.01327826,-0.01331668,-0.00754324,90.5583,-0.02085992,9,-0.00758166
19.35,2022-03-09,99027.79,-0.01798925,-0.01545786,0.02427928,99.9805,0.00882141,10,0.02681066
19.35,2022-03-10,99522.05,0.00950677,0.00950589,-0.00451475,99.9806,0.00499113,10,-0.00451564
19.35,2022-03-11,99128.15,0.00875691,0.00875444,-0.0127124,99.9805,-0.00395796,10,-0.01271487
19.35,2022-03-14,99759.47,0.01367727,0.01367585,-0.00730708,99.9806,0.00636877,10,-0.0073085
19.35,2022-03-15,101378.24,-0.0057639,-0.00575964,0.02198633,99.9809,0.01622669,10,0.02199059
19.35,2022-03-16,101875.28,-0.01727116,-0.01726693,0.0221698,99.981,0.00490288,10,0.02217404
19.35,2022-03-17,103132.95,-0.0001659,-0.00016352,0.01250875,99.9812,0.01234523,10,0.01251113
19.35,2022-03-18,102655.72,-0.0155801,-0.01557805,0.01095066,99.9812,-0.00462739,10,0.01095272
19.35,2022-03-21,103708.01,0.01054291,0.01054286,-0.00029216,99.9813,0.0102507,10,-0.00029221
19.35,2022-03-22,104483.28,-0.0042255,-0.00422331,0.01169882,99.9815,0.00747551,10,0.011701
19.35,2022-03-23,103830.83,0.00663378,0.00663139,-0.01287591,99.9814,-0.00624452,10,-0.01287829
19.35,2022-03-24,105125.9,-0.00260176,-0.00259895,0.01507178,99.9816,0.01247283,10,0.01507459
19.35,2022-03-25,106343.0,0.00669412,0.00669502,0.00488255,99.9818,0.01157757,10,0.00488345
19.35,2022-03-28,106242.98,-0.00805368,-0.00805239,0.00711181,99.9818,-0.00094058,10,0.0071131
19.35,2022-03-29,106441.24,-0.01050456,-0.01050231,0.01236845,99.9818,0.00186614,10,0.0123707
19.35,2022-03-30,106905.73,0.01053855,0.01053742,-0.00617361,99.9819,0.00436382,10,-0.00617473
19.35,2022-03-31,105913.31,0.00610816,0.00610538,-0.01538848,99.9817,-0.0092831,10,-0.01539126
19.35,2022-04-01,107046.78,0.00786775,0.00786827,0.00283356,99.9819,0.01070182,10,0.00283407
70.02,2022-04-04,105310.73,-0.02478426,-0.02478271,0.00856507,99.9335,-0.01621764,10,0.00856662
99.14,2022-04-05,105134.75,0.01096008,0.01095168,-0.01262279,99.9057,-0.00167111,10,-0.01263119
99.14,2022-04-06,106653.99,0.02444993,0.0244405,-0.00999007,99.907,0.01445043,10,-0.0099995
99.14,2022-04-07,107275.38,0.00078734,0.00079202,0.00503418,99.9076,0.0058262,10,0.00503886
99.14,2022-04-08,108275.55,0.01199714,0.01199467,-0.00267124,99.9084,0.00932342,10,-0.00267371
99.14,2022-04-11,107694.76,0.0117285,0.01171285,-0.0170769,99.9079,-0.00536405,10,-0.01709255
99.14,2022-04-12,108261.56,0.0089684,0.00896499,-0.0037019,99.9084,0.00526309,10,-0.00370531
99.14,2022-04-13,108598.53,-0.00834133,-0.00833084,0.01144339,99.9087,0.00311255,10,0.01145388
99.14,2022-04-14,108737.6,0.01373237,0.013721,-0.01244039,99.9088,0.0012806,10,-0.01245176
99.14,2022-04-18,108515.47,-0.002454,-0.00245363,0.0004108,99.9086,-0.00204283,10,0.00041118
99.14,2022-04-19,109448.18,-0.00754735,-0.00753261,0.01612775,99.9094,0.00859515,10,0.0161425
99.14,2022-04-20,111009.76,0.01500911,0.01500844,-0.00074067,99.9107,0.01426777,10,-0.00074134
99.14,2022-04-21,110280.53,0.00838462,0.00837127,-0.01494033,99.9101,-0.00656906,10,-0.01495368
99.14,2022-04-22,107751.01,0.0045021,0.00447743,-0.02741454,99.908,-0.02293711,10,-0.02743921
19.6,2022-04-25,106476.29,-0.0176281,-0.01762277,0.00579252,99.9816,-0.01183025,10,0.00579785
19.6,2022-04-26,104811.38,0.01332462,0.01331929,-0.02895577,99.9813,-0.01563648,10,-0.0289611
183.02,2022-04-27,104819.4,-0.00273526,-0.00273473,0.00281131,99.8254,7.658e-05,10,0.00281184
183.02,2022-04-28,105402.84,-0.01969355,-0.01964945,0.02521558,99.8264,0.00556614,10,0.02525969
2764.04,2022-04-29,101838.56,0.00314003,0.00307586,-0.03689162,97.2859,-0.03381576,10,-0.03695579
9062.95,2022-05-02,101058.66,-0.01367755,-0.01351417,0.00585597,91.032,-0.0076582,9,0.00601934
290.63,2022-05-03,101749.95,0.00225638,0.00266748,0.00417296,99.7144,0.00684043,10,0.00458406
290.63,2022-05-04,104771.53,-0.00075681,-0.00066983,0.03036592,99.7226,0.02969609,10,0.0304529
290.63,2022-05-05,102706.7,0.01583521,0.01573661,-0.03544449,99.717,-0.01970787,10,-0.03554308
38.43,2022-05-06,104146.21,0.01998445,0.01996756,-0.0059518,99.9631,0.01401575,10,-0.00596869
10031.68,2022-05-09,99857.32,-0.00916414,-0.00917596,-0.03200549,89.954,-0.04118145,10,-0.03201731
9282.05,2022-05-10,98783.0,-0.01306935,-0.01283721,0.00207861,90.6036,-0.0107586,10,0.00231074
9282.05,2022-05-11,98834.19,0.01640446,0.01491173,-0.01439351,90.6085,0.00051821,10,-0.01588625
19117.25,2022-05-12,99042.2,0.00314841,0.00305039,-0.0009457,80.6979,0.00210469,9,-0.00104372
9168.34,2022-05-13,100060.6,-0.01362529,-0.00901059,0.01929302,90.8372,0.01028243,10,0.02390772
9168.34,2022-05-16,100744.98,0.01089703,0.01052526,-0.00368562,90.8995,0.00683965,10,-0.00405739
9168.34,2022-05-17,101291.88,-0.01514149,-0.0132695,0.01869806,90.9486,0.00542856,10,0.02057005
6696.44,2022-05-18,97253.14,0.00043912,-0.00320963,-0.03666266,93.1144,-0.03987229,10,-0.04031141
15701.41,2022-05-19,96578.62,-0.00081079,-0.00123252,-0.00570312,83.7424,-0.00693564,9,-0.00612485
15701.41,2022-05-20,96982.05,0.00374083,0.00381177,0.00036542,83.81,0.00417719,9,0.00043636
6020.37,2022-05-23,98272.28,-0.00540654,-0.00237733,0.01568111,93.8738,0.01330377,10,0.01871031
6020.37,2022-05-24,99360.41,0.01870624,0.01823858,-0.00716601,93.9409,0.01107257,10,-0.00763367
6020.37,2022-05-25,99729.32,-0.00512191,-0.0045866,0.00829945,93.9633,0.00371286,10,0.00883476
6020.37,2022-05-26,100215.69,-0.01510468,-0.01389845,0.0187754,93.9926,0.00487695,10,0.01998163
6020.37,2022-05-27,101267.12,-0.01405733,-0.01258257,0.02307427,94.055,0.0104917,10,0.02454903
6020.37,2022-05-31,100245.49,-0.00447765,-0.00481122,-0.00527724,93.9944,-0.01008846,10,-0.00561081
6020.37,2022-06-01,99043.33,-0.00390344,-0.00438922,-0.00760293,93.9215,-0.01199215,10,-0.00808871
6020.37,2022-06-02,99412.48,-0.01531642,-0.01415885,0.01788595,93.944,0.0037271,10,0.01904351
6020.37,2022-06-03,98846.08,0.01071403,0.00972016,-0.01541759,93.9093,-0.00569743,10,-0.01641146
6020.37,2022-06-06,99210.01,0.00063701,0.00082245,0.00285932,93.9317,0.00368177,10,0.00304476
6020.37,2022-06-07,100038.88,-0.00123765,-0.00065555,0.00901024,93.982,0.00835468,10,0.00959233
6020.37,2022-06-08,98889.02,-0.00062188,-0.00127618,-0.01021797,93.912,-0.01149414,10,-0.01087226
6020.37,2022-06-09,96894.63,0.00361502,0.00216711,-0.02233504,93.7867,-0.02016793,10,-0.02378295
6764.6,2022-06-10,95209.97,0.0116093,0.0098077,-0.02719422,92.8951,-0.01738652,9,-0.02899582
55039.14,2022-06-13,92063.73,0.00492273,0.00222513,-0.03527042,40.2163,-0.03304529,4,-0.03796802
55039.14,2022-06-14,91201.31,-0.00635442,-0.00815583,-0.0012118,39.6509,-0.00936763,4,-0.00301322
9705.0,2022-06-15,90813.4,-0.0185097,-0.00990613,0.00565278,89.3133,-0.00425335,9,0.01425635
2392.45,2022-06-16,87944.2,0.00150178,-0.00203513,-0.0295593,97.2796,-0.03159443,10,-0.03309621
11698.87,2022-06-17,88458.81,0.00369557,0.00375422,0.00209733,86.7748,0.00585155,9,0.00215599
2647.66,2022-06-21,90978.77,0.00331385,0.00664309,0.02184421,97.0898,0.0284873,10,0.02517345
2647.66,2022-06-22,90987.46,0.00190837,0.00185562,-0.00176,97.0901,9.562e-05,10,-0.00181276
2647.66,2022-06-23,92004.92,0.00138024,0.00166547,0.00951691,97.1223,0.01118239,10,0.00980215
2647.66,2022-06-24,94136.45,-0.00862642,-0.00771148,0.03087899,97.1874,0.02316751,10,0.03179393
2647.66,2022-06-27,94977.46,0.01275368,0.01264625,-0.0037123,97.2123,0.00893395,10,-0.00381973
11932.5,2022-06-28,92791.19,-0.00258618,-0.00315577,-0.01986304,87.1405,-0.02301882,9,-0.02043264
2736.55,2022-06-29,92268.63,-0.004817,-0.00492175,-0.00070978,97.0341,-0.00563153,10,-0.00081452
2157.61,2022-06-30,91715.06,0.0021245,0.00188355,-0.00788317,97.6475,-0.00599962,10,-0.00812411
2157.61,2022-07-01,92966.3,0.00306623,0.00331504,0.01032773,97.6791,0.01364277,10,0.01057655
2157.61,2022-07-05,92635.89,-0.00544273,-0.0053989,0.00184474,97.6709,-0.00355417,10,0.00188857
1721.48,2022-07-06,92970.86,0.00023902,0.00031767,0.00329834,98.1484,0.00361601,10,0.003377
1721.48,2022-07-07,93711.59,-0.00700998,-0.00673265,0.01469997,98.163,0.00796731,10,0.01497729
1721.48,2022-07-08,93378.74,-0.00272923,-0.00274434,-0.00080744,98.1565,-0.00355178,10,-0.00082255
8376.44,2022-07-11,93012.51,0.0075017,0.0072911,-0.01121308,90.9943,-0.00392198,10,-0.01142368
17148.31,2022-07-12,92070.55,-0.00127846,-0.00207535,-0.0080519,81.3748,-0.01012725,9,-0.0088488
17148.31,2022-07-13,91865.86,0.00302861,0.00205044,-0.00427369,81.3333,-0.00222325,9,-0.00525186
16444.53,2022-07-14,91731.0,0.00096029,0.000507,-0.00197501,82.0731,-0.00146801,9,-0.00242829
15731.44,2022-07-15,91295.61,-0.02385152,-0.02042656,0.01568018,82.7687,-0.00474638,9,0.01910514
6798.55,2022-07-18,90370.41,-0.00187706,-0.00329984,-0.00683421,92.477,-0.01013405,10,-0.008257
4681.46,2022-07-19,92253.45,-0.00618198,-0.00414936,0.02498626,94.9254,0.02083691,10,0.02701889
4681.46,2022-07-20,92414.97,-0.00462265,-0.00429923,0.00605001,94.9343,0.00175079,10,0.00637344
4681.46,2022-07-21,92571.39,-0.00849044,-0.0079746,0.00966721,94.9429,0.00169261,10,0.01018305
4681.46,2022-07-22,92571.31,0.00927692,0.00880773,-0.00880861,94.9429,-8.8e-07,10,-0.0092778
4681.46,2022-07-25,92753.08,0.00074868,0.00081012,0.00115347,94.9528,0.00196359,10,0.00121491
