attempt,candidate_priority,edge_rank,fill_date,fill_idx,pattern_stop,pivot,positive_relative_ma_slope,relative_ma_missing_reason,relative_ma_period,relative_ma_signal_date,relative_ma_slope_pct,relative_ma_slope_sessions,sector,signal_date,spy_ma_20_sessions_ago,spy_ma_slope_pct,spy_ma_value,stock_ma_20_sessions_ago,stock_ma_slope_pct,stock_ma_value,stock_signal_close,symbol
1,1.7439071493998037,84.2439071493998,2016-07-05,505,0.0,,True,,60,2016-07-01,1.7439071493998037,10,Materials,2016-07-01,175.78080666666648,0.21935462730278132,176.16638999999995,9.90893500000002,1.963261776702585,10.103473333333325,10.2222,FCX
1,0.7021598747996682,83.20215987479966,2016-07-05,505,0.0,,True,,60,2016-07-01,0.7021598747996682,10,Industrials,2016-07-01,175.78080666666648,0.21935462730278132,176.16638999999995,84.28208833333338,0.9215145021024496,85.05875999999984,85.7848,SWK
1,0.42613395478465765,82.92613395478466,2016-07-05,505,0.0,,True,,60,2016-07-01,0.42613395478465765,10,Health Care,2016-07-01,175.78080666666648,0.21935462730278132,176.16638999999995,142.80113166666658,0.645488582087439,143.72289666666657,145.0268,TMO
1,0.3452353576141709,82.84523535761417,2016-07-05,505,0.0,,True,,60,2016-07-01,0.3452353576141709,10,Health Care,2016-07-01,175.78080666666648,0.21935462730278132,176.16638999999995,86.0801666666665,0.5645899849169522,86.56616666666632,87.74,VRTX
1,0.2409063695803626,82.74090636958036,2016-07-05,505,0.0,,True,,60,2016-07-01,0.2409063695803626,10,Industrials,2016-07-01,175.78080666666648,0.21935462730278132,176.16638999999995,7.526526666666647,0.4602609968831439,7.561168333333323,7.5898,CSX
1,0.13898906911669062,82.63898906911669,2016-07-05,505,0.0,,True,,60,2016-07-01,0.13898906911669062,10,Information Technology,2016-07-01,175.78080666666648,0.21935462730278132,176.16638999999995,28.4503399999999,0.35834369641947195,28.55228999999981,30.8396,WDC
1,0.06878573204638361,82.56878573204638,2016-07-05,505,0.0,,True,,60,2016-07-01,0.06878573204638361,10,Industrials,2016-07-01,175.78080666666648,0.21935462730278132,176.16638999999995,82.17117999999991,0.28814035934916493,82.40794833333335,82.7936,ITW
1,0.04380141739788179,82.54380141739789,2016-07-05,505,0.0,,True,,60,2016-07-01,0.04380141739788179,10,Real Estate,2016-07-01,175.78080666666648,0.21935462730278132,176.16638999999995,10.19420499999998,0.2631560447006631,10.221031666666658,10.8097,HST
1,0.8954540701867408,83.39545407018674,2016-07-06,506,0.0,,True,,60,2016-07-05,0.8954540701867408,10,Financials,2016-07-05,175.8628766666666,0.21269033034325702,176.2369200000001,44.124815000000126,1.1081444005299979,44.613781666666846,44.8774,ICE
1,0.06536924567708269,82.56536924567709,2016-07-06,506,0.0,,True,,60,2016-07-05,0.06536924567708269,10,Financials,2016-07-05,175.8628766666666,0.21269033034325702,176.2369200000001,63.901773333333225,0.2780595760203397,64.07945833333336,66.5557,CME
1,0.060889282262044375,82.56088928226204,2016-07-06,506,0.0,,True,,60,2016-07-05,0.060889282262044375,10,Utilities,2016-07-05,175.8628766666666,0.21269033034325702,176.2369200000001,39.627100000000006,0.2735796126053014,39.735511666666724,42.5112,ES
1,0.05018775014435928,82.55018775014436,2016-07-06,506,0.0,,True,,60,2016-07-05,0.05018775014435928,10,Financials,2016-07-05,175.8628766666666,0.21269033034325702,176.2369200000001,53.472190000000104,0.2628780804876163,53.61275666666679,55.5999,ALL
1,0.03437209339482994,82.53437209339484,2016-07-06,506,0.0,,True,,60,2016-07-05,0.03437209339482994,10,Consumer Staples,2016-07-05,175.8628766666666,0.21269033034325702,176.2369200000001,61.826479999999904,0.24706242373808696,61.97922999999985,64.5622,PG
1,0.004706578818591822,82.5047065788186,2016-07-06,506,0.0,,True,,60,2016-07-05,0.004706578818591822,10,Industrials,2016-07-05,175.8628766666666,0.21269033034325702,176.2369200000001,42.72983166666678,0.21739690916184884,42.822725000000176,43.5889,EXPD
1,1.9088592573266894,84.4088592573267,2016-07-07,507,0.0,,True,,60,2016-07-06,1.9088592573266894,10,Energy,2016-07-06,175.9516266666668,0.21616547335889802,176.33197333333348,41.614966666666746,2.1250247306855874,42.49929499999998,42.6831,APA
1,1.589559256914841,84.08955925691484,2016-07-07,507,0.0,,True,,60,2016-07-06,1.589559256914841,10,Industrials,2016-07-06,175.9516266666668,0.21616547335889802,176.33197333333348,32.822739999999854,1.805724730273739,33.4154283333333,33.503,PNR
1,1.0492767645541523,83.54927676455415,2016-07-07,507,0.0,,True,,60,2016-07-06,1.0492767645541523,10,Health Care,2016-07-06,175.9516266666668,0.21616547335889802,176.33197333333348,125.67411500000028,1.2654422379130503,127.26444833333372,127.7008,UHS
1,0.8074883303580638,83.30748833035807,2016-07-07,507,0.0,,True,,60,2016-07-06,0.8074883303580638,10,Unknown,2016-07-06,175.9516266666668,0.21616547335889802,176.33197333333348,11.699105000000024,1.0236538037169618,11.818863333333365,11.8696,JEF
1,0.7927437050133657,83.29274370501336,2016-07-07,507,0.0,,True,,60,2016-07-06,0.7927437050133657,10,Unknown,2016-07-06,175.9516266666668,0.21616547335889802,176.33197333333348,240.55154999999988,1.0089091783722637,242.97849666666662,243.1415,AYI
1,0.5860088239917349,83.08600882399173,2016-07-07,507,0.0,,True,,60,2016-07-06,0.5860088239917349,10,Industrials,2016-07-06,175.9516266666668,0.21616547335889802,176.33197333333348,111.48429166666646,0.802174297350633,112.37858999999989,112.6367,GD
1,0.5778998636698063,83.07789986366981,2016-07-07,507,0.0,,True,,60,2016-07-06,0.5778998636698063,10,Unknown,2016-07-06,175.9516266666668,0.21616547335889802,176.33197333333348,106.93221666666699,0.7940653370287043,107.78132833333342,108.6425,WLTW
1,0.5579611132215279,83.05796111322152,2016-07-07,507,0.0,,True,,60,2016-07-06,0.5579611132215279,10,Industrials,2016-07-06,175.9516266666668,0.21616547335889802,176.33197333333348,84.5643349999999,0.7741265865804259,85.21896999999984,85.6168,SWK
1,0.4328723910955512,82.93287239109556,2016-07-07,507,0.0,,True,,60,2016-07-06,0.4328723910955512,10,Materials,2016-07-06,175.9516266666668,0.21616547335889802,176.33197333333348,25.63204333333324,0.6490378644544492,25.798404999999942,25.8028,IP
1,0.345998724947294,82.8459987249473,2016-07-07,507,0.0,,True,,60,2016-07-06,0.345998724947294,10,Health Care,2016-07-06,175.9516266666668,0.21616547335889802,176.33197333333348,143.1251466666666,0.562164198306192,143.92974499999983,144.9102,TMO
1,0.27033408488361665,82.77033408488361,2016-07-07,507,0.0,,True,,60,2016-07-06,0.27033408488361665,10,Industrials,2016-07-06,175.9516266666668,0.21616547335889802,176.33197333333348,22.67456666666661,0.4864995582425147,22.78487833333335,23.0037,PWR
1,0.22593722812214168,82.72593722812215,2016-07-07,507,0.0,,True,,60,2016-07-06,0.22593722812214168,10,Health Care,2016-07-06,175.9516266666668,0.21616547335889802,176.33197333333348,86.29216666666653,0.4421027014810397,86.67366666666639,89.66,VRTX
