attempt,divergence_missing_reason,divergence_signal_date,edge_rank,fill_date,fill_idx,pattern_stop,pivot,positive_rs_divergence,relative_divergence_pct,rs_divergence_lookback,sector,signal_date,spy_lookback_return_pct,stock_lookback_return_pct,symbol
1,,2022-02-01,30.0,2022-02-02,526,67.61,72.56,True,2.1235011569411544,10,Unknown,2022-02-01,-0.7754932131247783,1.3480079438163761,ES
1,,2022-02-07,85.0,2022-02-08,530,98.04,104.92,True,3.746320700424066,10,Unknown,2022-02-07,1.6869725492432375,5.433293249667304,NTRS
1,,2022-02-22,30.0,2022-02-23,540,34.98,37.07,True,4.250279560745951,10,Unknown,2022-02-22,-3.9551805765389414,0.29509898420700953,HRL
1,,2022-02-22,30.0,2022-02-23,540,67.16,70.59,True,4.035635667088999,10,Unknown,2022-02-22,-3.9551805765389414,0.08045509055005784,LYB
1,,2022-02-24,100.0,2022-02-25,542,84.45,92.04,True,9.377060547500292,10,Unknown,2022-02-24,-6.390681150946986,2.986379396553307,BXP
1,,2022-04-06,30.0,2022-04-07,571,48.73,57.6,True,1.08702555204081,10,Unknown,2022-04-06,0.6129005381291908,1.6999260901700008,ALK
1,,2022-05-10,70.0,2022-05-11,594,47.26,52.07,True,17.137549047564484,10,Unknown,2022-05-10,-4.087945821674643,13.04960322588984,DVN
1,,2022-05-20,70.0,2022-05-23,602,272.84,289.73,True,6.273896438369164,10,Unknown,2022-05-20,-5.277895116422837,0.9960013219463271,LLY
1,,2022-05-23,100.0,2022-05-24,603,79.44,87.06,True,3.357837911473982,10,Unknown,2022-05-23,-0.31393556737241424,3.043902344101568,PM
1,,2022-10-13,30.0,2022-10-14,702,32.57,35.07,True,1.741393387944279,10,Unknown,2022-10-13,0.8765500279026117,2.6179434158468906,ROL
1,,2022-11-03,41.7,2022-11-04,717,38.79,41.57,True,1.6988807105019044,10,Unknown,2022-11-03,1.5325386283000064,3.231419338801911,BSX
1,,2023-01-13,30.0,2023-01-17,765,162.78,188.65,True,3.418933798222734,10,Unknown,2023-01-13,3.92759421251192,7.346528010734654,MRNA
1,,2023-02-23,100.0,2023-02-24,792,88.87,93.63,True,5.032082570348795,10,Unknown,2023-02-23,-2.432734532361458,2.599348037987337,RTX
1,,2023-03-03,30.0,2023-03-06,798,183.26,221.62,True,3.574069285616288,10,Unknown,2023-03-03,-1.0017910258131146,2.5722782598031735,ALGN
1,,2023-04-05,30.0,2023-04-06,821,113.82,125.28,True,0.5620720121017442,10,Unknown,2023-04-05,3.9504177115433636,4.512489723645108,MPC
1,,2023-04-10,30.0,2023-04-11,823,1421.95,1526.66,True,0.7368671040651087,10,Unknown,2023-04-10,3.5022149305298678,4.2390820345949765,MTD
1,,2023-05-25,30.0,2023-05-26,856,36.82,38.83,True,0.6069680099218155,10,Unknown,2023-05-25,0.6114373441671539,1.2184053540889694,TPR
1,,2023-07-10,30.0,2023-07-11,885,102.03,105.84,True,2.508916809973716,10,Unknown,2023-07-10,1.4888803003877404,3.9977971103614562,BKNG
1,,2023-07-10,30.0,2023-07-11,885,34.65,36.35,True,1.84222493206172,10,Unknown,2023-07-10,1.4888803003877404,3.3311052324494606,XRAY
1,,2023-08-03,30.0,2023-08-04,903,187.87,196.44,True,2.746921359446697,10,Unknown,2023-08-03,-0.7386322551617752,2.0082891042849216,BDX
1,,2023-08-07,70.0,2023-08-08,905,31.56,34.98,True,3.6607521693062695,10,Unknown,2023-08-07,-0.7683927603840845,2.892359408922185,NFLX
1,,2023-09-27,30.0,2023-09-28,558,325.79,347.68,True,6.465964383445666,10,Unknown,2023-09-27,-4.245652445293935,2.220311938151731,EG
1,,2023-10-20,70.0,2023-10-23,747,73.39,78.14,True,2.6497962916057327,10,Unknown,2023-10-20,-1.9439271870715924,0.7058691045341403,ACGL
1,,2023-10-24,30.0,2023-10-25,960,199.41,211.54,True,4.306079511294536,10,Unknown,2023-10-24,-2.510712026962336,1.7953674843321998,AMGN
1,,2023-12-07,70.0,2023-12-08,745,103.39,109.94,True,0.8118265808964242,10,Unknown,2023-12-07,0.7054821658609267,1.517308746757351,STLD
1,,2024-01-02,30.0,2024-01-03,1007,26.31,28.58,True,3.3332831325715517,10,Unknown,2024-01-02,0.7073960065532958,4.0406791391248476,VZ
1,,2024-01-02,30.0,2024-01-03,1007,26.31,28.58,True,3.3332831325715517,10,Unknown,2024-01-02,0.7073960065532958,4.0406791391248476,VZ
1,,2024-02-01,70.0,2024-02-02,1028,91.71,98.31,True,0.7104303340980556,10,Unknown,2024-02-01,2.667420192296044,3.3778505263940994,TROW
1,,2024-02-20,30.0,2024-02-21,1040,185.45,202.44,True,0.34451968444890735,10,Unknown,2024-02-20,0.854731959010846,1.1992516434597533,ODFL
1,,2024-03-06,30.0,2024-03-07,1051,185.45,202.44,True,0.1988008723743384,10,Unknown,2024-03-06,2.5220760385372465,2.720876910911585,ODFL
1,,2024-03-06,30.0,2024-03-07,1051,527.03,582.85,True,3.4385178132205763,10,Unknown,2024-03-06,2.5220760385372465,5.960593851757823,SNPS
1,,2024-04-04,56.7,2024-04-05,1071,72.28,75.92,True,2.0071798625150183,10,Unknown,2024-04-04,-1.4236938456426484,0.5834860168723699,WEC
1,,2024-04-05,70.0,2024-04-08,1072,95.0,103.11,True,1.6621993150861214,10,Unknown,2024-04-05,-0.7219510890428604,0.940248226043261,TGT
1,,2024-06-03,30.0,2024-06-04,1112,100.3,114.25,True,11.538138187013935,10,Unknown,2024-06-03,-0.311652107254734,11.226486079759201,MRNA
1,,2024-07-17,30.0,2024-07-18,1142,81.2,86.01,True,1.2947618913166759,10,Unknown,2024-07-17,1.4443971876907158,2.7391590790073916,OMC
1,,2024-07-23,30.0,2024-07-24,1146,255.71,275.84,True,5.938683357185304,10,Unknown,2024-07-23,-0.36702107184960475,5.571662285335699,CMI
1,,2024-07-31,90.0,2024-08-01,1152,695.19,763.12,True,6.692914880206413,10,Unknown,2024-07-31,-1.1006502589235523,5.592264621282861,MPWR
1,,2024-08-08,100.0,2024-08-09,1158,717.87,779.15,True,3.6276694518511454,10,Unknown,2024-08-08,-1.4412728603976022,2.1863965914535433,BLK
1,,2024-09-03,70.0,2024-09-04,1175,164.18,173.75,True,5.695436277903687,10,Unknown,2024-09-03,-1.3455689042937258,4.349867373609961,CBOE
1,,2024-09-26,30.0,2024-09-27,1192,42.69,49.05,True,2.989972677840691,10,Unknown,2024-09-26,2.676740628441654,5.666713306282345,SYF
1,,2024-10-24,30.0,2024-10-25,1212,3015.0,3207.75,True,0.963483849835467,10,Unknown,2024-10-24,0.5397914877576682,1.5032753375931351,AZO
1,,2024-12-03,30.0,2024-12-04,1239,111.45,124.08,True,1.786670711852234,10,Unknown,2024-12-03,2.6795962663889616,4.466266978241196,NTAP
1,,2025-01-21,30.0,2025-01-22,1270,59.87,64.25,True,3.0265983792538975,10,Unknown,2025-01-21,1.8751640931815583,4.901762472435456,EBAY
1,,2025-02-27,46.7,2025-02-28,1296,442.68,476.65,True,3.8719317435026768,10,Unknown,2025-02-27,-3.034687026143612,0.8372447173590647,DE
1,,2025-03-12,30.0,2025-03-13,1305,122.79,130.86,True,7.905526712279021,10,Unknown,2025-03-12,-5.999577782461474,1.905948929817547,MMM
1,,2025-03-13,30.0,2025-03-14,1306,165.67,177.87,True,8.089769663429337,10,Unknown,2025-03-13,-5.7482354912860245,2.3415341721433114,JKHY
1,,2025-04-22,63.0,2025-04-23,1333,111.08,120.35,True,1.6009563704780794,10,Unknown,2025-04-22,4.534279674664665,6.135236045142745,DTE
1,,2025-04-28,70.0,2025-04-29,1337,111.08,120.35,True,1.354578766672443,10,Unknown,2025-04-28,3.1670439783336946,4.5216227450061375,DTE
1,,2025-06-17,85.0,2025-06-18,1372,64.57,70.81,True,1.0410365828684265,10,Unknown,2025-06-17,0.24157063099949916,1.2826072138679256,NEE
1,,2025-07-11,30.0,2025-07-14,1388,33.7,35.73,True,1.6896485189959565,10,Unknown,2025-07-11,1.920353569921307,3.6100020889172635,MOS
1,,2025-08-07,30.0,2025-08-08,1407,133.87,140.94,True,3.124774171454947,10,Unknown,2025-08-07,-0.34204161968548474,2.7827325517694623,AWK
1,,2025-08-22,30.0,2025-08-25,1418,323.52,346.32,True,3.3216789403674563,10,Unknown,2025-08-22,1.2759498138043224,4.597628754171779,CAT
1,,2025-08-22,30.0,2025-08-25,1418,323.52,346.32,True,3.3216789403674563,10,Unknown,2025-08-22,1.2759498138043224,4.597628754171779,CAT
1,,2025-08-22,30.0,2025-08-25,1418,323.52,346.32,True,3.3216789403674563,10,Unknown,2025-08-22,1.2759498138043224,4.597628754171779,CAT
1,,2025-09-30,30.0,2025-10-01,1444,69.31,74.98,True,2.5024372714554044,10,Unknown,2025-09-30,1.2161916223731861,3.7186288938285905,SWKS
1,,2025-09-30,30.0,2025-10-01,1248,152.97,168.95,True,1.6069542618974086,10,Unknown,2025-09-30,1.2161916223731861,2.8231458842705948,TRGP
1,,2025-10-29,30.0,2025-10-30,1465,49.9,57.34,True,0.7547817090603814,10,Unknown,2025-10-29,3.340480472696483,4.095262181756865,TECH
1,,2025-10-31,70.0,2025-11-03,1467,256.7,276.22,True,1.5791746156109676,10,Unknown,2025-10-31,2.659581248895937,4.238755864506905,WST
1,,2025-11-07,100.0,2025-11-10,1472,93.5,100.54,True,3.5705338304903744,10,Unknown,2025-11-07,-0.9272945123697918,2.6432393181205827,C
1,,2026-01-30,70.0,2026-02-02,1528,38.27,44.31,True,0.4892167093440314,10,Unknown,2026-01-30,-0.03900777352603413,0.45020893581799726,FCX
1,,2026-01-30,30.0,2026-02-02,1528,39.84,44.31,True,0.4892167093440314,10,Unknown,2026-01-30,-0.03900777352603413,0.45020893581799726,FCX
1,,2026-02-03,43.3,2026-02-04,1530,23.09,25.18,True,0.9078603143512831,10,Unknown,2026-02-03,1.7636248880189775,2.6714852023702607,PFE
1,,2026-02-20,85.0,2026-02-23,1542,457.74,485.0,True,2.1999394735952027,10,Unknown,2026-02-20,1.7428690964010896,3.9428085699962923,VRTX
1,,2026-02-23,72.5,2026-02-24,1543,206.02,216.83,True,2.8540149615705612,10,Unknown,2026-02-23,-1.1916691461567819,1.6623458154137793,WM
1,,2026-02-24,70.0,2026-02-25,1544,903.14,997.29,True,1.5720697463155187,10,Unknown,2026-02-24,-0.9510899680521767,0.6209797782633419,MPWR
1,,2026-03-03,100.0,2026-03-04,1549,450.44,478.69,True,3.428076609424635,10,Unknown,2026-03-03,-0.3690299294667909,3.059046679957844,DE
1,,2026-03-03,30.0,2026-03-04,1549,450.44,478.69,True,3.428076609424635,10,Unknown,2026-03-03,-0.3690299294667909,3.059046679957844,DE
1,,2026-03-04,35.0,2026-03-05,1550,454.4,485.0,True,1.7807323703781575,10,Unknown,2026-03-04,-0.16902945102709177,1.6117029193510657,VRTX
