cash,date,equity,excess_return,exposure_matched_excess_return,exposure_matched_spy_return,gross_exposure_pct,portfolio_return,positions,spy_return
96370.69,2016-10-20,99992.41,-7.593e-05,-7.593e-05,0.0,3.622,-7.593e-05,1,0.0
96370.69,2016-10-21,100057.87,0.00018721,0.00063777,1.693e-05,3.6851,0.0006547,1,0.00046749
96370.69,2016-10-24,100084.32,-0.00398856,0.00010764,0.00015672,3.7105,0.00026437,1,0.00425292
96370.69,2016-10-25,100267.49,0.00518064,0.00195443,-0.00012432,3.8864,0.00183011,1,-0.00335053
96370.69,2016-10-26,100306.51,0.00239678,0.00046721,-7.802e-05,3.9238,0.00038919,1,-0.00200759
96370.69,2016-10-27,100259.55,0.00219872,-0.0003635,-0.00010464,3.8788,-0.00046814,1,-0.00266687
96370.69,2016-10-28,100245.67,0.0028172,-2.38e-05,-0.00011464,3.8655,-0.00013845,1,-0.00295564
96370.69,2016-10-31,100288.0,0.00037491,0.00042035,1.83e-06,3.9061,0.00042217,1,4.726e-05
96370.69,2016-11-01,100304.52,0.00741061,0.00044784,-0.00028303,3.9219,0.00016481,1,-0.0072458
96370.69,2016-11-02,100234.43,0.00531951,-0.00046276,-0.00023603,3.8547,-0.00069879,1,-0.0060183
96370.69,2016-11-03,100196.74,0.00420119,-0.00019962,-0.00017644,3.8185,-0.00037606,1,-0.00457725
96370.69,2016-11-04,100197.4,0.00110818,4.865e-05,-4.207e-05,3.8192,6.58e-06,1,-0.0011016
96370.69,2016-11-07,100240.38,-0.02162791,-0.00041343,0.00084239,3.8604,0.00042896,1,0.02205687
96370.69,2016-11-08,100215.25,-0.0047552,-0.00042452,0.0001739,3.8363,-0.00025063,1,0.00450458
96370.69,2016-11-09,100472.49,-0.00803475,0.00216011,0.00040671,4.0825,0.00256682,1,0.01060157
96370.69,2016-11-10,100533.98,-0.00188306,0.00051013,0.00010186,4.1412,0.00061199,1,0.00249506
96370.69,2016-11-11,100500.26,0.0019693,-0.00023994,-9.544e-05,4.109,-0.00033538,1,-0.00230469
96370.69,2016-11-14,100508.85,-0.00070032,5.322e-05,3.229e-05,4.1172,8.551e-05,1,0.00078584
96370.69,2016-11-15,100546.55,-0.00742753,5.379e-05,0.00032125,4.1532,0.00037503,1,0.00780257
96370.69,2016-11-16,100578.29,0.00219394,0.00039367,-7.801e-05,4.1834,0.00031566,1,-0.00187828
96370.69,2016-11-17,100647.06,-0.00445717,0.00046871,0.00021507,4.2489,0.00068378,1,0.00514095
96370.69,2016-11-18,100601.67,0.00178715,-0.00035585,-9.509e-05,4.2057,-0.00045095,1,-0.00223809
96370.69,2016-11-21,100678.43,-0.0067891,0.00044535,0.00031762,4.2787,0.00076297,1,0.00755207
96370.69,2016-11-22,100725.81,-0.0014824,0.00038709,8.357e-05,4.3237,0.00047065,1,0.00195305
96370.69,2016-11-23,100690.44,-0.00089505,-0.00037472,2.351e-05,4.2901,-0.00035121,1,0.00054384
96370.69,2016-11-25,100699.79,-0.0036225,-6.653e-05,0.00015939,4.299,9.287e-05,1,0.00371537
96370.69,2016-11-28,100628.37,0.0039858,-0.00050741,-0.00020184,4.2311,-0.00070925,1,-0.00469504
96370.69,2016-11-29,100627.03,-0.00196396,-9.584e-05,8.253e-05,4.2298,-1.33e-05,1,0.00195066
96370.69,2016-11-30,100479.53,0.00093369,-0.0013643,-0.00010149,4.0892,-0.00146579,1,-0.00239948
96370.69,2016-12-01,100410.78,0.00299093,-0.00053397,-0.00015029,4.0236,-0.00068425,1,-0.00367518
96370.69,2016-12-02,100472.86,0.00011714,0.0005981,2.016e-05,4.0829,0.00061826,1,0.00050112
96370.69,2016-12-05,100677.09,-0.00397616,0.00178739,0.00024533,4.2774,0.00203272,1,0.00600888
96370.69,2016-12-06,100690.44,-0.00303442,-2.89e-06,0.00013547,4.2901,0.00013257,1,0.00316699
96370.69,2016-12-07,100878.67,-0.0112117,0.00130818,0.0005612,4.4687,0.00186938,1,0.01308108
96370.69,2016-12-08,100934.06,-0.00189932,0.00043973,0.00010941,4.5211,0.00054914,1,0.00244847
96370.69,2016-12-09,100909.37,-0.00628552,-0.00051779,0.00027312,4.4978,-0.00024468,1,0.00604084
96370.69,2016-12-12,100830.6,0.00036788,-0.00072889,-5.165e-05,4.4232,-0.00078054,1,-0.00114842
96370.69,2016-12-13,100855.97,-0.00642229,-4.363e-05,0.0002952,4.4472,0.00025157,1,0.00667385
96370.69,2016-12-14,100808.58,0.00778398,-0.00010276,-0.00036706,4.4023,-0.00046982,1,-0.0082538
96370.69,2016-12-15,100885.34,-0.00335589,0.00058015,0.00018126,4.475,0.0007614,1,0.00411729
96370.69,2016-12-16,100909.37,0.00219412,0.00032569,-8.753e-05,4.4978,0.00023816,1,-0.00195596
96370.69,2016-12-19,100872.65,-0.00254139,-0.00046178,9.794e-05,4.463,-0.00036384,1,0.00217755
96370.69,2016-12-20,100880.67,-0.00377809,-9.273e-05,0.00017216,4.4706,7.943e-05,1,0.00385752
96370.69,2016-12-21,100904.69,0.00302069,0.00036257,-0.0001244,4.4934,0.00023817,1,-0.00278252
96370.69,2016-12-22,100957.42,0.00225023,0.00060019,-7.763e-05,4.5432,0.00052256,1,-0.00172766
92732.53,2016-12-23,101000.93,-0.00103332,0.00036444,6.653e-05,8.1865,0.00043096,2,0.00146428
92732.53,2016-12-27,101029.8,-0.00219547,8.271e-05,0.00020313,8.2127,0.00028585,2,0.00248131
92732.53,2016-12-28,100934.65,0.0073233,-0.00026303,-0.00067879,8.1262,-0.00094181,2,-0.00826511
92732.53,2016-12-29,100929.11,0.00016764,-3.679e-05,-1.808e-05,8.1211,-5.487e-05,2,-0.00022252
92732.53,2016-12-30,100893.58,0.00330267,-5.526e-05,-0.00029681,8.0888,-0.00035206,2,-0.00365473
92732.53,2017-01-03,101067.73,-0.0059234,0.00110737,0.00061875,8.2471,0.00172613,2,0.00764953
