cash,date,equity,excess_return,exposure_matched_excess_return,exposure_matched_spy_return,gross_exposure_pct,portfolio_return,positions,spy_return
96432.38,2016-11-10,99945.29,-0.0005471,-0.0005471,0.0,3.5148,-0.0005471,1,0.0
96432.38,2016-11-11,99958.73,0.00243914,0.00021546,-8.101e-05,3.5278,0.00013445,1,-0.00230469
96432.38,2016-11-14,99848.2,-0.00189153,-0.00113342,2.772e-05,3.421,-0.00110569,1,0.00078584
96432.38,2016-11-15,99845.6,-0.00782861,-0.00029297,0.00026693,3.4185,-2.604e-05,1,0.00780257
96432.38,2016-11-16,99886.35,0.00228635,0.00047228,-6.421e-05,3.4579,0.00040807,1,-0.00187828
96432.38,2016-11-17,99941.82,-0.00458557,0.00037761,0.00017777,3.5115,0.00055538,1,0.00514095
96432.38,2016-11-18,99901.51,0.00183478,-0.00032473,-7.859e-05,3.4726,-0.00040332,1,-0.00223809
96432.38,2016-11-21,99928.82,-0.00727874,1.108e-05,0.00026225,3.4989,0.00027333,1,0.00755207
96432.38,2016-11-22,99895.45,-0.00228703,-0.00040231,6.834e-05,3.4667,-0.00033398,1,0.00195305
96432.38,2016-11-23,99890.68,-0.00059154,-6.656e-05,1.885e-05,3.4621,-4.77e-05,1,0.00054384
96432.38,2016-11-25,99952.66,-0.00309491,0.00049183,0.00012863,3.5219,0.00062046,1,0.00371537
96432.38,2016-11-28,99905.42,0.00422239,-0.00030729,-0.00016536,3.4763,-0.00047265,1,-0.00469504
96432.38,2016-11-29,99861.64,-0.00238883,-0.00050598,6.781e-05,3.434,-0.00043817,1,0.00195066
96432.38,2016-11-30,99849.94,0.00228227,-3.48e-05,-8.24e-05,3.4227,-0.0001172,1,-0.00239948
96432.38,2016-12-01,99794.46,0.00311955,-0.00042984,-0.00012579,3.369,-0.00055563,1,-0.00367518
96432.38,2016-12-02,99828.27,-0.00016233,0.00032191,1.688e-05,3.4017,0.00033879,1,0.00050112
96432.38,2016-12-05,99876.38,-0.00552696,0.00027752,0.00020441,3.4483,0.00048192,1,0.00600888
96432.38,2016-12-06,99891.54,-0.00301513,4.265e-05,0.00010921,3.4629,0.00015186,1,0.00316699
96432.38,2016-12-07,99906.72,-0.0129292,-0.00030111,0.00045299,3.4776,0.00015188,1,0.01308108
96432.38,2016-12-08,99969.57,-0.00181938,0.00054394,8.515e-05,3.5383,0.00062908,1,0.00244847
96432.38,2016-12-09,99992.1,-0.00581541,1.17e-05,0.00021374,3.56,0.00022544,1,0.00604084
96432.38,2016-12-12,99879.41,2.14e-05,-0.00108613,-4.088e-05,3.4512,-0.00112702,1,-0.00114842
96432.38,2016-12-13,99896.31,-0.0065046,-6.108e-05,0.00023033,3.4675,0.00016925,1,0.00667385
96432.38,2016-12-14,99861.64,0.00790672,-6.088e-05,-0.0002862,3.434,-0.00034708,1,-0.0082538
96432.38,2016-12-15,99854.7,-0.00418678,-0.00021087,0.00014139,3.4273,-6.948e-05,1,0.00411729
96432.38,2016-12-16,99808.76,0.00149589,-0.00039304,-6.704e-05,3.3828,-0.00046007,1,-0.00195596
96432.38,2016-12-19,99817.0,-0.00209502,8.86e-06,7.366e-05,3.3908,8.253e-05,1,0.00217755
96432.38,2016-12-20,99872.04,-0.00330607,0.00042065,0.0001308,3.4441,0.00055145,1,0.00385752
96432.38,2016-12-21,99808.76,0.0021489,-0.00053779,-9.583e-05,3.3828,-0.00063362,1,-0.00278252
96432.38,2016-12-22,99750.68,0.00114575,-0.00052347,-5.844e-05,3.3266,-0.00058191,1,-0.00172766
