cash,date,equity,excess_return,exposure_matched_excess_return,exposure_matched_spy_return,gross_exposure_pct,portfolio_return,positions,spy_return
96370.69,2016-10-20,99992.41,-7.593e-05,-7.593e-05,0.0,3.622,-7.593e-05,1,0.0
96370.69,2016-10-21,100057.87,0.00018721,0.00063777,1.693e-05,3.6851,0.0006547,1,0.00046749
96370.69,2016-10-24,100084.32,-0.00398856,0.00010764,0.00015672,3.7105,0.00026437,1,0.00425292
96370.69,2016-10-25,100267.49,0.00518064,0.00195443,-0.00012432,3.8864,0.00183011,1,-0.00335053
96370.69,2016-10-26,100306.51,0.00239678,0.00046721,-7.802e-05,3.9238,0.00038919,1,-0.00200759
96370.69,2016-10-27,100259.55,0.00219872,-0.0003635,-0.00010464,3.8788,-0.00046814,1,-0.00266687
96370.69,2016-10-28,100245.67,0.0028172,-2.38e-05,-0.00011464,3.8655,-0.00013845,1,-0.00295564
96370.69,2016-10-31,100288.0,0.00037491,0.00042035,1.83e-06,3.9061,0.00042217,1,4.726e-05
96370.69,2016-11-01,100304.52,0.00741061,0.00044784,-0.00028303,3.9219,0.00016481,1,-0.0072458
96370.69,2016-11-02,100234.43,0.00531951,-0.00046276,-0.00023603,3.8547,-0.00069879,1,-0.0060183
96370.69,2016-11-03,100196.74,0.00420119,-0.00019962,-0.00017644,3.8185,-0.00037606,1,-0.00457725
96370.69,2016-11-04,100197.4,0.00110818,4.865e-05,-4.207e-05,3.8192,6.58e-06,1,-0.0011016
96370.69,2016-11-07,100240.38,-0.02162791,-0.00041343,0.00084239,3.8604,0.00042896,1,0.02205687
96370.69,2016-11-08,100215.25,-0.0047552,-0.00042452,0.0001739,3.8363,-0.00025063,1,0.00450458
96370.69,2016-11-09,100472.49,-0.00803475,0.00216011,0.00040671,4.0825,0.00256682,1,0.01060157
96370.69,2016-11-10,100533.98,-0.00188306,0.00051013,0.00010186,4.1412,0.00061199,1,0.00249506
96370.69,2016-11-11,100500.26,0.0019693,-0.00023994,-9.544e-05,4.109,-0.00033538,1,-0.00230469
96370.69,2016-11-14,100508.85,-0.00070032,5.322e-05,3.229e-05,4.1172,8.551e-05,1,0.00078584
96370.69,2016-11-15,100546.55,-0.00742753,5.379e-05,0.00032125,4.1532,0.00037503,1,0.00780257
96370.69,2016-11-16,100578.29,0.00219394,0.00039367,-7.801e-05,4.1834,0.00031566,1,-0.00187828
96370.69,2016-11-17,100647.06,-0.00445717,0.00046871,0.00021507,4.2489,0.00068378,1,0.00514095
96370.69,2016-11-18,100601.67,0.00178715,-0.00035585,-9.509e-05,4.2057,-0.00045095,1,-0.00223809
96370.69,2016-11-21,100678.43,-0.0067891,0.00044535,0.00031762,4.2787,0.00076297,1,0.00755207
96370.69,2016-11-22,100725.81,-0.0014824,0.00038709,8.357e-05,4.3237,0.00047065,1,0.00195305
96370.69,2016-11-23,100690.44,-0.00089505,-0.00037472,2.351e-05,4.2901,-0.00035121,1,0.00054384
96370.69,2016-11-25,100699.79,-0.0036225,-6.653e-05,0.00015939,4.299,9.287e-05,1,0.00371537
96370.69,2016-11-28,100628.37,0.0039858,-0.00050741,-0.00020184,4.2311,-0.00070925,1,-0.00469504
96370.69,2016-11-29,100627.03,-0.00196396,-9.584e-05,8.253e-05,4.2298,-1.33e-05,1,0.00195066
92722.49,2016-11-30,100463.88,0.00077819,-0.00151979,-0.00010149,7.7056,-0.00162129,2,-0.00239948
92722.49,2016-12-01,100541.21,0.00444489,0.0010529,-0.0002832,7.7766,0.0007697,2,-0.00367518
92722.49,2016-12-02,100546.26,-0.00045091,1.125e-05,3.897e-05,7.7813,5.022e-05,2,0.00050112
92722.49,2016-12-05,100763.0,-0.00385326,0.00168806,0.00046757,7.9796,0.00215562,2,0.00600888
92722.49,2016-12-06,100780.35,-0.0029948,-8.052e-05,0.00025271,7.9955,0.00017219,2,0.00316699
89058.03,2016-12-07,101160.57,-0.00930832,0.00272687,0.00104589,11.9637,0.00377276,3,0.01308108
89058.03,2016-12-08,101105.42,-0.00299367,-0.00083814,0.00029293,11.9157,-0.00054521,3,0.00244847
89058.03,2016-12-09,101134.48,-0.00575337,-0.00043233,0.00071981,11.941,0.00028748,3,0.00604084
89058.03,2016-12-12,101131.11,0.0011151,0.00010382,-0.00013713,11.9381,-3.332e-05,3,-0.00114842
89058.03,2016-12-13,101144.89,-0.00653759,-0.00066046,0.00079673,11.9501,0.00013626,3,0.00667385
89058.03,2016-12-14,100965.02,0.00647543,-0.00079204,-0.00098633,11.7932,-0.00177837,3,-0.0082538
89058.03,2016-12-15,101093.49,-0.00284488,0.00078685,0.00048556,11.9053,0.00127241,3,0.00411729
89058.03,2016-12-16,101152.95,0.00254412,0.00082103,-0.00023286,11.9571,0.00058816,3,-0.00195596
89058.03,2016-12-19,101080.5,-0.00289376,-0.00097658,0.00026037,11.894,-0.00071621,3,0.00217755
89058.03,2016-12-20,101105.02,-0.00361493,-0.00021622,0.00045881,11.9153,0.0002426,3,0.00385752
89058.03,2016-12-21,101125.15,0.00298159,0.00053061,-0.00033155,11.9329,0.00019907,3,-0.00278252
89058.03,2016-12-22,101177.84,0.0022487,0.0007272,-0.00020616,11.9787,0.00052104,3,-0.00172766
89058.03,2016-12-23,101190.65,-0.00133768,-4.88e-05,0.0001754,11.9899,0.0001266,3,0.00146428
89058.03,2016-12-27,101296.39,-0.00143632,0.00074749,0.00029751,12.0817,0.001045,3,0.00248131
89058.03,2016-12-28,101158.39,0.00690272,-0.00036382,-0.00099857,11.9618,-0.00136239,3,-0.00826511
89058.03,2016-12-29,101138.46,2.554e-05,-0.00017036,-2.662e-05,11.9445,-0.00019698,3,-0.00022252
89058.03,2016-12-30,101067.75,0.00295552,-0.00026267,-0.00043654,11.8828,-0.00069921,3,-0.00365473
89058.03,2017-01-03,101269.57,-0.00565263,0.00108791,0.00090898,12.0584,0.0019969,3,0.00764953
