symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
AN,Unknown,2016-07-27,521,52.2522,69,48.072,48.072,52.04,30.0,46.09,1,,529.0,False,2016-07-26,59144480.35,51.53,2016-08-03,48.0239,stop,-8.09
LRCX,Unknown,2016-07-26,520,7.9729,456,7.335,7.335,7.34,30.0,7.09,1,,533.0,False,2016-07-25,163845220.37,7.9998,2016-08-12,7.7702,model_decay,-2.54
CAT,Unknown,2016-07-26,520,63.534,57,58.4513,58.4513,62.59,30.0,58.34,1,,554.0,False,2016-07-25,295613828.75,66.4497,2016-09-13,65.0596,model_decay,2.4
KMI,Unknown,2016-10-03,568,14.0576,258,12.933,12.933,13.81,30.0,12.86,1,,,False,2016-09-30,231388975.29,13.9406,2016-10-11,12.9201,stop,-8.09
SWKS,Unknown,2016-10-07,572,63.9815,56,58.863,58.863,62.73,30.0,58.04,1,,593.0,False,2016-10-06,218421706.81,63.9256,2016-11-04,58.4145,stop,-8.7
DOV,Unknown,2016-11-25,606,49.9669,6,48.0,48.0,49.88,30.0,48.0,1,,,False,2016-11-23,113452383.32,49.917,2016-11-29,47.952,stop,-4.03
VRSN,Unknown,2016-10-31,588,83.4289,43,76.7546,76.7546,81.64,30.0,73.49,1,,609.0,False,2016-10-28,76021716.06,82.7644,2016-11-30,77.8598,model_decay,-6.68
AVGO,Unknown,2016-10-10,573,13.4483,270,12.51,12.51,13.35,30.0,12.51,1,,612.0,False,2016-10-07,396253512.65,13.4379,2016-12-01,12.4975,stop,-7.07
LRCX,Unknown,2016-09-09,552,8.0988,447,7.4509,7.4509,7.34,30.0,7.09,2,,,False,2016-09-08,166082442.43,7.9632,2016-12-05,8.8778,timeout,9.62
CAT,Unknown,2016-09-29,566,69.3536,52,63.8053,63.8053,62.59,30.0,58.34,2,,,False,2016-09-28,285954562.07,70.2399,2016-12-23,75.9038,timeout,9.44
HUM,Unknown,2016-11-10,596,174.3918,20,160.4405,160.4405,163.24,30.0,151.88,1,,626.0,False,2016-11-09,180480642.43,177.5123,2016-12-23,186.6392,model_decay,7.02
APA,Unknown,2016-12-01,610,52.513,134,48.3119,48.3119,50.13,85.0,45.19,1,,631.0,False,2016-11-30,189725810.22,50.709,2017-01-03,50.3239,model_decay,-4.17
