symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
AN,Unknown,2016-07-25,519,52.2722,69,48.0904,48.0904,52.04,30.0,46.09,1,,521.0,False,2016-07-22,62950451.05,51.98,2016-07-27,52.1478,model_decay,-0.24
CAT,Unknown,2016-07-28,522,67.2798,54,61.8974,61.8974,62.59,30.0,58.34,1,,524.0,False,2016-07-27,326247482.93,66.5862,2016-08-01,66.3912,model_decay,-1.32
LRCX,Unknown,2016-07-27,521,8.0603,451,7.4154,7.4154,7.34,30.0,7.09,1,,526.0,False,2016-07-26,163649867.5,8.0313,2016-08-03,7.7947,model_decay,-3.3
CAT,Unknown,2016-08-03,526,65.2301,55,60.0117,60.0117,62.59,30.0,58.34,2,,542.0,False,2016-08-02,326965398.38,65.8715,2016-08-25,66.64,model_decay,2.16
CAT,Unknown,2016-09-12,553,64.5227,56,59.3608,59.3608,62.59,30.0,58.34,3,,555.0,False,2016-09-09,234496746.76,65.7832,2016-09-14,64.482,model_decay,-0.06
AVGO,Unknown,2016-10-10,573,13.4483,270,12.51,12.51,13.35,30.0,12.51,1,,579.0,False,2016-10-07,396253512.65,13.4379,2016-10-18,13.1081,model_decay,-2.53
HRL,Unknown,2016-11-01,589,29.4725,123,28.0,28.0,29.34,30.0,28.0,1,,,False,2016-10-31,58915576.15,29.1828,2016-11-03,27.972,stop,-5.09
VLO,Unknown,2016-10-31,588,39.9882,90,36.7892,36.7892,37.76,30.0,35.89,1,,605.0,False,2016-10-28,210970276.92,40.3846,2016-11-23,44.5715,model_decay,11.46
DOV,Unknown,2016-12-02,611,52.3526,69,48.1644,48.1644,49.88,30.0,48.0,1,,617.0,False,2016-12-01,111035977.57,51.6889,2016-12-12,53.4767,model_decay,2.15
AZO,Unknown,2016-12-20,623,799.6088,4,735.6401,735.6401,783.33,30.0,720.45,1,,626.0,False,2016-12-19,261167766.65,807.32,2016-12-23,796.2529,model_decay,-0.42
DOV,Unknown,2016-12-22,625,52.7074,69,48.4908,48.4908,49.88,30.0,48.0,2,,631.0,False,2016-12-21,86272436.75,52.5296,2017-01-03,52.97,model_decay,0.5
KEY,Unknown,2016-12-15,620,12.171,700,11.1973,11.1973,8.4,70.0,7.9,1,,632.0,False,2016-12-14,185877268.57,12.2656,2017-01-04,12.24,model_decay,0.57
VLO,Unknown,2016-12-01,610,42.3602,85,38.9714,38.9714,37.76,30.0,35.89,2,,633.0,False,2016-11-30,232207501.1,41.6504,2017-01-05,47.0117,model_decay,10.98
