symbol,sector,entry_date,entry_idx,entry_price,shares,stop,initial_stop,pivot,edge_rank,pattern_stop,attempt,diagnostic_exit_idx,model_exit_idx,entry_day_stop,signal_date,entry_adv_dollars,highest_close,exit_date,exit_price,exit_reason,net_return_pct
CAT,Unknown,2016-07-13,511,63.6761,57,58.582,58.582,62.59,30.0,58.34,1,,520.0,False,2016-07-12,287800904.4,63.3819,2016-07-26,63.407,model_decay,-0.42
LRCX,Unknown,2016-07-11,509,7.472,486,7.09,7.09,7.34,30.0,7.09,1,,524.0,False,2016-07-08,170453077.28,7.5396,2016-08-01,7.8671,model_decay,5.29
CAT,Unknown,2016-07-28,522,67.2798,54,61.8974,61.8974,62.59,30.0,58.34,2,,525.0,False,2016-07-27,326247482.93,66.5862,2016-08-02,65.7817,model_decay,-2.23
AN,Unknown,2016-08-01,524,51.4013,70,47.2892,47.2892,52.04,30.0,46.09,1,,526.0,False,2016-07-29,63135302.1,51.82,2016-08-03,48.6113,model_decay,-5.43
LRCX,Unknown,2016-08-05,528,8.0428,451,7.3994,7.3994,7.34,30.0,7.09,2,,532.0,False,2016-08-04,171100003.77,8.1439,2016-08-11,7.7781,model_decay,-3.29
CAT,Unknown,2016-08-09,530,67.1351,54,61.7643,61.7643,62.59,30.0,58.34,3,,532.0,False,2016-08-08,316673601.7,66.514,2016-08-11,66.5838,model_decay,-0.82
TPR,Unknown,2016-08-22,539,30.528,118,28.2,28.2,30.32,30.0,28.2,1,,544.0,False,2016-08-19,142703798.17,30.2314,2016-08-29,29.7075,model_decay,-2.69
LRCX,Unknown,2016-08-22,539,8.1136,447,7.4645,7.4645,7.34,30.0,7.09,3,,553.0,False,2016-08-19,196742305.02,8.1396,2016-09-12,7.865,model_decay,-3.06
KMI,Unknown,2016-10-03,568,14.0576,257,12.933,12.933,13.81,30.0,12.86,1,,570.0,False,2016-09-30,231388975.29,13.9406,2016-10-05,13.6603,model_decay,-2.83
AVGO,Unknown,2016-10-07,572,13.4598,268,12.51,12.51,13.35,30.0,12.51,1,,575.0,False,2016-10-06,409369974.97,13.3949,2016-10-12,13.1158,model_decay,-2.56
SWKS,Unknown,2016-10-07,572,63.9815,56,58.863,58.863,62.73,30.0,58.04,1,,577.0,False,2016-10-06,218421706.81,63.9256,2016-10-14,62.6468,model_decay,-2.09
VLO,Unknown,2016-10-26,585,40.0701,90,36.8645,36.8645,37.76,30.0,35.89,1,,591.0,False,2016-10-25,224666145.73,40.5755,2016-11-03,39.8198,model_decay,-0.62
VRSN,Unknown,2016-10-31,588,83.4289,43,76.7546,76.7546,81.64,30.0,73.49,1,,591.0,False,2016-10-28,76021716.06,82.7644,2016-11-03,79.5524,model_decay,-4.65
HRL,Unknown,2016-11-01,589,29.4725,122,28.0,28.0,29.34,30.0,28.0,1,,591.0,False,2016-10-31,58915576.15,29.1828,2016-11-03,28.8324,model_decay,-2.17
AVGO,Unknown,2016-11-09,595,13.1974,273,12.51,12.51,13.35,30.0,12.51,2,,596.0,False,2016-11-08,283764071.82,13.3341,2016-11-10,13.3438,model_decay,1.11
AXP,Unknown,2016-11-11,597,61.3441,59,56.96,56.96,59.5,30.0,56.96,1,,603.0,False,2016-11-10,351847964.03,61.747,2016-11-21,62.394,model_decay,1.71
MAR,Unknown,2016-11-16,600,71.0204,56,65.3388,65.3388,64.84,33.3,60.42,1,,603.0,False,2016-11-15,229908645.89,71.1145,2016-11-21,70.8335,model_decay,-0.26
SWKS,Unknown,2016-11-18,602,62.9781,57,58.04,58.04,62.73,30.0,58.04,2,,607.0,False,2016-11-17,153183175.78,63.2305,2016-11-28,62.2385,model_decay,-1.17
VLO,Unknown,2016-11-08,594,39.6879,90,36.5129,36.5129,37.76,30.0,35.89,2,,608.0,False,2016-11-07,217088213.0,39.6347,2016-11-29,43.5061,model_decay,9.62
KEY,Unknown,2016-11-21,603,11.4069,318,10.4943,10.4943,8.4,30.0,7.9,1,,608.0,False,2016-11-18,217823359.24,11.4154,2016-11-29,11.3595,model_decay,-0.42
AVGO,Unknown,2016-11-23,605,13.5738,268,12.51,12.51,13.35,30.0,12.51,3,,608.0,False,2016-11-22,336073845.07,13.6156,2016-11-29,13.3546,model_decay,-1.61
RF,Unknown,2016-11-28,607,9.2346,918,8.4959,8.4959,7.06,70.0,6.56,1,,608.0,False,2016-11-25,251292141.18,9.1624,2016-11-29,9.1882,model_decay,-0.5
AZO,Unknown,2016-11-23,605,794.7139,4,731.1368,731.1368,783.33,30.0,720.45,1,,609.0,False,2016-11-22,236710733.3,798.05,2016-11-30,789.8693,model_decay,-0.61
HUM,Unknown,2016-11-09,595,165.0135,21,151.88,151.88,163.24,30.0,151.88,1,,613.0,False,2016-11-08,195446146.29,171.1805,2016-12-06,193.0842,model_decay,17.01
