date,equity,cash,positions,gross_exposure_pct,portfolio_return,spy_return,excess_return,exposure_matched_spy_return,exposure_matched_excess_return
2016-07-06,100016.82,96366.29,1,3.6499,0.00016821,0.0,0.00016821,0.0,0.00016821
2016-07-07,100020.39,96366.29,1,3.6534,3.569e-05,-0.00061985,0.00065555,-2.262e-05,5.832e-05
2016-07-08,100146.87,96366.29,1,3.775,0.00126454,0.01489071,-0.01362617,0.00054401,0.00072053
2016-07-11,100211.49,96366.29,1,3.8371,0.00064522,0.00352659,-0.00288137,0.00013313,0.00051209
2016-07-12,100296.56,96366.29,1,3.9186,0.00084888,0.00726385,-0.00641496,0.00027872,0.00057016
2016-07-13,100313.49,96366.29,1,3.9349,0.00016882,-0.00013982,0.00030864,-5.48e-06,0.0001743
2016-07-14,100280.54,96366.29,1,3.9033,-0.00032843,0.00558306,-0.00591149,0.00021969,-0.00054812
2016-07-15,100310.38,96366.29,1,3.9319,0.00029752,-0.00134116,0.00163868,-5.235e-05,0.00034986
2016-07-18,100345.11,96366.29,1,3.9651,0.00034624,0.00268647,-0.00234024,0.00010563,0.00024061
2016-07-19,100352.66,96366.29,1,3.9724,7.522e-05,-0.00101605,0.00109127,-4.029e-05,0.00011551
2016-07-20,100428.85,96366.29,1,4.0452,0.00075926,0.00416337,-0.00340411,0.00016538,0.00059388
2016-07-21,100344.65,96366.29,1,3.9647,-0.00083841,-0.00377731,0.00293889,-0.0001528,-0.00068561
2016-07-22,100377.19,96366.29,1,3.9958,0.00032426,0.00448481,-0.00416055,0.00017781,0.00014645
2016-07-25,100403.45,96366.29,1,4.0209,0.00026166,-0.00271605,0.00297772,-0.00010853,0.00037019
2016-07-26,100446.19,96366.29,1,4.0618,0.00042566,0.00046168,-3.601e-05,1.856e-05,0.0004071
2016-07-27,100462.25,96366.29,1,4.0771,0.00015994,-0.00106104,0.00122097,-4.31e-05,0.00020303
2016-07-28,100512.13,96366.29,1,4.1247,0.00049648,0.00115488,-0.0006584,4.709e-05,0.0004494
